,revenue,cost_without_depletion_and_amortization,operations_and_support_expense,selling_and_market_expense,research_and_development_expense,general_and_administrative_expense,depreciation_depletion_and_amortization,costs_and_expenses,operating_income_loss,interest_expense,nonoperating_income_expense,incomeloss_from_continuining_operations,income_tax_expense_benefit,income_loss_from_equity_method_investments,profit_loss,unnamed,net_income_loss,earnings_per_share_basic,earnings_per_share_diluted,weighted_average_number_of_shares_outstanding_basic,weight_average_number_of_diluted_shares_outstanding,net_income_loss_attributable_to_redeemable_noncontrolling_interest,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2020-12-10,3129000000.0,1614000000.0,365000000.0,924000000.0,493000000.0,711000000.0,138000000.0,4245000000.0,-1116000000.0,112000000.0,151000000.0,-1077000000.0,23000000.0,-8000000.0,-1108000000.0,-19000000.0,-1089000000.0,-0.62,-0.62,1755029000.0,1755029000.0,-10000000.0,1.0,0.107,0.854,0.039,0.2271875,0.082125,0.89359375,0.02434375,70470750.0,144.71
2020-12-11,3129000000.0,1614000000.0,365000000.0,924000000.0,493000000.0,711000000.0,138000000.0,4245000000.0,-1116000000.0,112000000.0,151000000.0,-1077000000.0,23000000.0,-8000000.0,-1108000000.0,-19000000.0,-1089000000.0,-0.62,-0.62,1755029000.0,1755029000.0,-10000000.0,1.0,0.107,0.854,0.039,0.64962,0.142,0.8286,0.0295999999999999,26981241.0,139.25
2020-12-12 00:00:00,3129000000.0,1614000000.0,365000000.0,924000000.0,493000000.0,711000000.0,138000000.0,4245000000.0,-1116000000.0,112000000.0,151000000.0,-1077000000.0,23000000.0,-8000000.0,-1108000000.0,-19000000.0,-1089000000.0,-0.62,-0.62,1755029000.0,1755029000.0,-10000000.0,1.0,0.107,0.854,0.039,0.0,0.0,1.0,0.0,26981241.0,139.25
2020-12-13 00:00:00,3129000000.0,1614000000.0,365000000.0,924000000.0,493000000.0,711000000.0,138000000.0,4245000000.0,-1116000000.0,112000000.0,151000000.0,-1077000000.0,23000000.0,-8000000.0,-1108000000.0,-19000000.0,-1089000000.0,-0.62,-0.62,1755029000.0,1755029000.0,-10000000.0,1.0,0.107,0.854,0.039,0.0,0.0,1.0,0.0,26981241.0,139.25
2020-12-14,3129000000.0,1614000000.0,365000000.0,924000000.0,493000000.0,711000000.0,138000000.0,4245000000.0,-1116000000.0,112000000.0,151000000.0,-1077000000.0,23000000.0,-8000000.0,-1108000000.0,-19000000.0,-1089000000.0,-0.62,-0.62,1755029000.0,1755029000.0,-10000000.0,1.0,0.107,0.854,0.039,-0.4019,0.0,0.903,0.097,16966090.0,130.0
2020-12-15,3129000000.0,1614000000.0,365000000.0,924000000.0,493000000.0,711000000.0,138000000.0,4245000000.0,-1116000000.0,112000000.0,151000000.0,-1077000000.0,23000000.0,-8000000.0,-1108000000.0,-19000000.0,-1089000000.0,-0.62,-0.62,1755029000.0,1755029000.0,-10000000.0,1.0,0.107,0.854,0.039,0.2266666666666666,0.053,0.8806666666666666,0.0663333333333333,10914466.0,124.8
2020-12-16,3129000000.0,1614000000.0,365000000.0,924000000.0,493000000.0,711000000.0,138000000.0,4245000000.0,-1116000000.0,112000000.0,151000000.0,-1077000000.0,23000000.0,-8000000.0,-1108000000.0,-19000000.0,-1089000000.0,-0.62,-0.62,1755029000.0,1755029000.0,-10000000.0,1.0,0.107,0.854,0.039,0.8689,0.271,0.682,0.047,20410248.0,137.99
2020-12-17,3129000000.0,1614000000.0,365000000.0,924000000.0,493000000.0,711000000.0,138000000.0,4245000000.0,-1116000000.0,112000000.0,151000000.0,-1077000000.0,23000000.0,-8000000.0,-1108000000.0,-19000000.0,-1089000000.0,-0.62,-0.62,1755029000.0,1755029000.0,-10000000.0,1.0,0.107,0.854,0.039,0.8689,0.271,0.682,0.047,15054741.0,147.05
2020-12-18,3129000000.0,1614000000.0,365000000.0,924000000.0,493000000.0,711000000.0,138000000.0,4245000000.0,-1116000000.0,112000000.0,151000000.0,-1077000000.0,23000000.0,-8000000.0,-1108000000.0,-19000000.0,-1089000000.0,-0.62,-0.62,1755029000.0,1755029000.0,-10000000.0,1.0,0.107,0.854,0.039,0.8689,0.271,0.682,0.047,15954535.0,157.3
2020-12-19 00:00:00,3129000000.0,1614000000.0,365000000.0,924000000.0,493000000.0,711000000.0,138000000.0,4245000000.0,-1116000000.0,112000000.0,151000000.0,-1077000000.0,23000000.0,-8000000.0,-1108000000.0,-19000000.0,-1089000000.0,-0.62,-0.62,1755029000.0,1755029000.0,-10000000.0,1.0,0.107,0.854,0.039,0.29655,0.077,0.7995,0.1235,15954535.0,157.3
