,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2019-05-10,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,484516.0,463.0
2019-05-11,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,484516.0,463.0
2019-05-12,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,484516.0,463.0
2019-05-13,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,703857.0,442.78
2019-05-14,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,426818.0,445.86
2019-05-15,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,424222.0,444.36
2019-05-16,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,449091.0,447.24
2019-05-17,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,496878.0,441.56
2019-05-18,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,496878.0,441.56
2019-05-19,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,496878.0,441.56
2019-05-20,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,465677.0,438.09
2019-05-21,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,306992.0,441.66
2019-05-22,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,331006.0,439.14
2019-05-23,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,577553.0,433.89
2019-05-24,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,277330.0,435.76
2019-05-25,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,277330.0,435.76
2019-05-26,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,277330.0,435.76
2019-05-27,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,277330.0,435.76
2019-05-28,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,462829.0,429.31
2019-05-29,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,390709.0,427.93
2019-05-30,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,412411.0,426.59
2019-05-31,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,534635.0,415.56
2019-06-01,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,534635.0,415.56
2019-06-02,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,534635.0,415.56
2019-06-03,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,581905.0,419.9
2019-06-04,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,558448.0,434.53
2019-06-05,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,605856.0,438.15
2019-06-06,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,675288.0,439.23
2019-06-07,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,503954.0,444.11
2019-06-08,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,503954.0,444.11
2019-06-09,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,503954.0,444.11
2019-06-10,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,525014.0,443.81
2019-06-11,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,536789.0,443.12
