,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2015-12-01,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,3805240.0,46.49
2015-12-02,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,4783966.0,43.53
2015-12-03,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,9820844.0,41.1
2015-12-04,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,5912416.0,40.53
2015-12-05,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,5912416.0,40.53
2015-12-06,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,5912416.0,40.53
2015-12-07,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,11436328.0,36.44
2015-12-08,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,13144216.0,35.19
2015-12-09,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,7916082.0,35.32
2015-12-10,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,6799667.0,35.51
2015-12-11,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,5925446.0,33.55
2015-12-12,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,5925446.0,33.55
2015-12-13,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,5925446.0,33.55
2015-12-14,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,11006438.0,31.54
2015-12-15,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,7808522.0,31.87
2015-12-16,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,8350471.0,30.57
2015-12-17,0.9997,0.058,0.925,0.017,-0.1027,0.0,0.924,0.076,15841423.0,28.98
