,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2019-05-10,1.0,0.111,0.846,0.042,0.1779,0.096,0.904,0.0,2280173.0,107.89
2019-05-11,1.0,0.111,0.846,0.042,0.1779,0.096,0.904,0.0,2280173.0,107.89
2019-05-12,1.0,0.111,0.846,0.042,0.8562,0.098,0.82,0.082,2280173.0,107.89
2019-05-13,1.0,0.111,0.846,0.042,0.8562,0.098,0.82,0.082,1587127.0,107.2
2019-05-14,1.0,0.111,0.846,0.042,0.8562,0.098,0.82,0.082,1661793.0,109.11
2019-05-15,1.0,0.111,0.846,0.042,0.8562,0.098,0.82,0.082,1416359.0,109.06
2019-05-16,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1044527.0,110.63
2019-05-17,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1281259.0,111.02
2019-05-18,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1281259.0,111.02
2019-05-19,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1281259.0,111.02
2019-05-20,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1395080.0,109.66
2019-05-21,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,2239483.0,113.8
2019-05-22,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1444360.0,108.88
2019-05-23,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,2143576.0,104.03
2019-05-24,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1389089.0,104.11
2019-05-25,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1389089.0,104.11
2019-05-26,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1389089.0,104.11
2019-05-27,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1389089.0,104.11
2019-05-28,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1428880.0,103.52
2019-05-29,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,2679597.0,101.31
2019-05-30,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1645500.0,100.35
2019-05-31,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1900457.0,98.06
2019-06-01,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1900457.0,98.06
2019-06-02,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1900457.0,98.06
2019-06-03,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1950799.0,98.17
2019-06-04,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1769105.0,99.13
2019-06-05,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,2089650.0,96.12
2019-06-06,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1450798.0,97.58
2019-06-07,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1674131.0,97.02
2019-06-08,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1674131.0,97.02
2019-06-09,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1674131.0,97.02
2019-06-10,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1751227.0,97.6
2019-06-11,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1516246.0,99.76
2019-06-12,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1551934.0,98.21
2019-06-13,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1080008.0,100.17
2019-06-14,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1092957.0,98.95
2019-06-15,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1092957.0,98.95
2019-06-16,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1092957.0,98.95
2019-06-17,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1271123.0,101.58
2019-06-18,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1416653.0,104.54
2019-06-19,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1205716.0,104.12
2019-06-20,1.0,0.111,0.846,0.042,0.6757,0.085,0.88,0.035,1872011.0,107.585
2019-06-21,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,2491484.0,109.79
2019-06-22,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,2491484.0,109.79
2019-06-23,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,2491484.0,109.79
2019-06-24,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,1380254.0,107.64
2019-06-25,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,1303296.0,105.22
2019-06-26,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,1645356.0,107.23
2019-06-27,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,1005745.0,107.49
2019-06-28,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,1633886.0,108.97
2019-06-29,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,1633886.0,108.97
2019-06-30,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1633886.0,108.97
2019-07-01,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1472157.0,109.35
2019-07-02,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1834224.0,104.17
2019-07-03,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,584988.0,105.2
2019-07-04,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,584988.0,105.2
2019-07-05,1.0,0.115,0.86,0.026,0.83775,0.2595,0.6995,0.041,1356003.0,107.41
2019-07-06,1.0,0.115,0.86,0.026,0.18456666666666666,0.17899999999999996,0.745,0.076,1356003.0,107.41
2019-07-07,1.0,0.115,0.86,0.026,0.18456666666666666,0.17899999999999996,0.745,0.076,1356003.0,107.41
2019-07-08,1.0,0.115,0.86,0.026,0.18456666666666666,0.17899999999999996,0.745,0.076,805097.0,106.96
2019-07-09,1.0,0.115,0.86,0.026,0.18456666666666666,0.17899999999999996,0.745,0.076,1006261.0,106.97
2019-07-10,1.0,0.115,0.86,0.026,0.18456666666666666,0.17899999999999996,0.745,0.076,1097177.0,109.68
2019-07-11,1.0,0.115,0.86,0.026,0.18456666666666666,0.17899999999999996,0.745,0.076,1230934.0,109.32
2019-07-12,1.0,0.115,0.86,0.026,0.18456666666666666,0.17899999999999996,0.745,0.076,1243619.0,110.83
2019-07-13,1.0,0.115,0.86,0.026,0.18456666666666666,0.17899999999999996,0.745,0.076,1243619.0,110.83
2019-07-14,1.0,0.115,0.86,0.026,0.18456666666666666,0.17899999999999996,0.745,0.076,1243619.0,110.83
2019-07-15,1.0,0.115,0.86,0.026,0.8645,0.132,0.868,0.0,1075249.0,106.41
2019-07-16,1.0,0.115,0.86,0.026,0.8645,0.132,0.868,0.0,1652208.0,104.11
2019-07-17,1.0,0.115,0.86,0.026,0.8645,0.132,0.868,0.0,1230479.0,101.79
2019-07-18,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1423405.0,103.58
