,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2015-12-01,0.9999,0.099,0.889,0.013,0.6942,0.234,0.766,0.0,22781868.0,107.12
2015-12-02,0.9999,0.099,0.889,0.013,0.6942,0.234,0.766,0.0,24429063.0,106.07
2015-12-03,0.9999,0.099,0.889,0.013,0.6942,0.234,0.766,0.0,23236423.0,104.38
2015-12-04,0.9999,0.099,0.889,0.013,0.6942,0.234,0.766,0.0,21224521.0,106.18
2015-12-05,0.9999,0.099,0.889,0.013,0.6942,0.234,0.766,0.0,21224521.0,106.18
2015-12-06,0.9999,0.099,0.889,0.013,0.6942,0.234,0.766,0.0,21224521.0,106.18
2015-12-07,0.9999,0.099,0.889,0.013,0.6942,0.234,0.766,0.0,15474890.0,105.61
2015-12-08,0.9999,0.099,0.889,0.013,0.6942,0.234,0.766,0.0,20401791.0,106.49
2015-12-09,0.9999,0.099,0.889,0.013,0.6942,0.234,0.766,0.0,23517268.0,104.6
2015-12-10,0.9999,0.099,0.889,0.013,0.2023,0.043,0.927,0.03,17454312.0,105.42
2015-12-11,0.9999,0.099,0.889,0.013,0.3062,0.0555,0.9445,0.0,26427727.0,102.12
2015-12-12,0.9999,0.099,0.889,0.013,0.3062,0.0555,0.9445,0.0,26427727.0,102.12
2015-12-13,0.9999,0.099,0.889,0.013,0.3062,0.0555,0.9445,0.0,26427727.0,102.12
2015-12-14,0.9999,0.099,0.889,0.013,0.3062,0.0555,0.9445,0.0,24813496.0,104.66
2015-12-15,0.9999,0.099,0.889,0.013,0.3062,0.0555,0.9445,0.0,21764331.0,104.55
2015-12-16,0.9999,0.099,0.889,0.013,0.44765,0.1935,0.7825,0.024,22680547.0,106.79
2015-12-17,0.9999,0.099,0.889,0.013,-0.12562499999999996,0.07625,0.83075,0.093,21672286.0,106.22
2015-12-18,0.9999,0.099,0.889,0.013,-0.12562499999999996,0.07625,0.83075,0.093,35994199.0,104.04
2015-12-19,0.9999,0.099,0.889,0.013,-0.12562499999999996,0.07625,0.83075,0.093,35994199.0,104.04
2015-12-20,0.9999,0.099,0.889,0.013,-0.12562499999999996,0.07625,0.83075,0.093,35994199.0,104.04
2015-12-21,0.9999,0.099,0.889,0.013,-0.12562499999999996,0.07625,0.83075,0.093,16133186.0,104.77
2015-12-22,0.9999,0.099,0.889,0.013,0.1901,0.061,0.939,0.0,14597122.0,105.51
2015-12-23,0.9999,0.099,0.889,0.013,-0.4215,0.0,0.891,0.109,19599473.0,104.63
2015-12-24,0.9999,0.099,0.889,0.013,-0.4215,0.0,0.891,0.109,6512134.0,105.02
2015-12-25,0.9999,0.099,0.889,0.013,-0.4215,0.0,0.891,0.109,6512134.0,105.02
2015-12-26,0.9999,0.099,0.889,0.013,-0.4215,0.0,0.891,0.109,6512134.0,105.02
2015-12-27,0.9999,0.099,0.889,0.013,-0.4215,0.0,0.891,0.109,6512134.0,105.02
2015-12-28,0.9999,0.099,0.889,0.013,-0.4215,0.0,0.891,0.109,13069733.0,105.93
2015-12-29,0.9999,0.099,0.889,0.013,-0.4215,0.0,0.891,0.109,17179551.0,107.26
2015-12-30,0.9999,0.099,0.889,0.013,-0.4215,0.0,0.891,0.109,13115007.0,106.22
2015-12-31,1.0,0.109,0.826,0.065,0.1531,0.119,0.812,0.069,18391064.0,104.66
2016-01-01,1.0,0.109,0.826,0.065,0.1531,0.119,0.812,0.069,18391064.0,104.66
2016-01-02,1.0,0.109,0.826,0.065,0.1531,0.119,0.812,0.069,18391064.0,104.66
2016-01-03,1.0,0.109,0.826,0.065,0.1531,0.119,0.812,0.069,18391064.0,104.66
2016-01-04,1.0,0.109,0.826,0.065,0.9237,0.077,0.893,0.03,37912403.0,102.22
2016-01-05,1.0,0.109,0.826,0.065,0.9552,0.262,0.738,0.0,23258238.0,102.73
2016-01-06,1.0,0.109,0.826,0.065,0.9552,0.262,0.738,0.0,25096183.0,102.97
2016-01-07,1.0,0.109,0.826,0.065,0.4118,0.159,0.793,0.048,45172906.0,97.92
2016-01-08,1.0,0.109,0.826,0.065,0.4118,0.159,0.793,0.048,35402298.0,97.33
2016-01-09,1.0,0.109,0.826,0.065,0.4118,0.159,0.793,0.048,35402298.0,97.33
2016-01-10,1.0,0.109,0.826,0.065,0.4118,0.159,0.793,0.048,35402298.0,97.33
2016-01-11,1.0,0.109,0.826,0.065,0.4118,0.159,0.793,0.048,29932385.0,97.51
2016-01-12,1.0,0.109,0.826,0.065,0.4118,0.159,0.793,0.048,28395390.0,99.37
2016-01-13,1.0,0.109,0.826,0.065,0.8481,0.212,0.74,0.048,33410553.0,95.44
2016-01-14,1.0,0.109,0.826,0.065,0.8481,0.212,0.74,0.048,48658623.0,98.37
2016-01-15,1.0,0.109,0.826,0.065,0.8481,0.212,0.74,0.048,46132781.0,94.97
2016-01-16,1.0,0.109,0.826,0.065,0.8481,0.212,0.74,0.048,46132781.0,94.97
2016-01-17,1.0,0.109,0.826,0.065,0.8481,0.212,0.74,0.048,46132781.0,94.97
2016-01-18,1.0,0.109,0.826,0.065,0.8481,0.212,0.74,0.048,46132781.0,94.97
2016-01-19,1.0,0.109,0.826,0.065,-0.5293,0.0,0.859,0.141,30998256.0,95.26
2016-01-20,1.0,0.109,0.826,0.065,0.15854999999999997,0.078,0.8220000000000001,0.1,59051429.0,94.35
2016-01-21,1.0,0.109,0.826,0.065,0.15854999999999997,0.078,0.8220000000000001,0.1,30518939.0,94.16
2016-01-22,1.0,0.109,0.826,0.065,0.15854999999999997,0.078,0.8220000000000001,0.1,30494987.0,97.94
2016-01-23,1.0,0.109,0.826,0.065,0.15854999999999997,0.078,0.8220000000000001,0.1,30494987.0,97.94
2016-01-24,1.0,0.109,0.826,0.065,0.15854999999999997,0.078,0.8220000000000001,0.1,30494987.0,97.94
2016-01-25,1.0,0.109,0.826,0.065,0.9932,0.149,0.779,0.071,32482015.0,97.01
2016-01-26,1.0,0.109,0.826,0.065,0.9932,0.149,0.779,0.071,26877080.0,97.34
2016-01-27,1.0,0.109,0.826,0.065,-0.4767,0.0,0.807,0.193,58699359.0,94.45
2016-01-28,1.0,0.109,0.826,0.065,-0.7717,0.0,0.865,0.135,107475327.0,109.11
2016-01-29,1.0,0.109,0.826,0.065,0.8062,0.194,0.647,0.159,62737848.0,112.21
2016-01-30,1.0,0.109,0.826,0.065,0.8062,0.194,0.647,0.159,62737848.0,112.21
2016-01-31,1.0,0.109,0.826,0.065,0.8062,0.194,0.647,0.159,62737848.0,112.21
2016-02-01,1.0,0.109,0.826,0.065,-0.6956,0.128,0.672,0.2,46132726.0,115.09
2016-02-02,1.0,0.109,0.826,0.065,-0.6956,0.128,0.672,0.2,56161083.0,114.61
2016-02-03,1.0,0.109,0.826,0.065,-0.7717,0.0,0.891,0.109,56919324.0,112.69
2016-02-04,1.0,0.109,0.826,0.065,-0.7717,0.0,0.891,0.109,38890199.0,110.49
2016-02-05,1.0,0.109,0.826,0.065,-0.5352,0.068,0.847,0.085,76892633.0,104.07
2016-02-06,1.0,0.109,0.826,0.065,-0.14665,0.045,0.8775,0.0775,76892633.0,104.07
2016-02-07,1.0,0.109,0.826,0.065,0.4619,0.117,0.774,0.109,76892633.0,104.07
2016-02-08,1.0,0.109,0.826,0.065,-0.5962666666666666,0.09033333333333333,0.7856666666666667,0.124,71229746.0,99.75
2016-02-09,1.0,0.109,0.826,0.065,0.7425,0.231,0.769,0.0,62709018.0,99.54
2016-02-10,1.0,0.109,0.826,0.065,-0.7717,0.0,0.89,0.11,45179370.0,101.0
2016-02-11,1.0,0.109,0.826,0.065,-0.7717,0.0,0.89,0.11,43670634.0,101.91
2016-02-12,1.0,0.109,0.826,0.065,-0.7717,0.0,0.89,0.11,36176760.0,102.01
2016-02-13,1.0,0.109,0.826,0.065,-0.7717,0.0,0.89,0.11,36176760.0,102.01
2016-02-14,1.0,0.109,0.826,0.065,-0.7717,0.0,0.89,0.11,36176760.0,102.01
2016-02-15,1.0,0.109,0.826,0.065,-0.7717,0.0,0.89,0.11,36176760.0,102.01
2016-02-16,1.0,0.109,0.826,0.065,-0.7717,0.0,0.89,0.11,45687224.0,101.61
2016-02-17,1.0,0.109,0.826,0.065,0.0,0.0,1.0,0.0,44073369.0,105.2
2016-02-18,1.0,0.109,0.826,0.065,0.6597,0.068,0.932,0.0,29593508.0,103.47
2016-02-19,1.0,0.109,0.826,0.065,0.6597,0.068,0.932,0.0,32404516.0,104.57
2016-02-20,1.0,0.109,0.826,0.065,0.6597,0.068,0.932,0.0,32404516.0,104.57
2016-02-21,1.0,0.109,0.826,0.065,0.6597,0.068,0.932,0.0,32404516.0,104.57
2016-02-22,1.0,0.109,0.826,0.065,0.0,0.0,1.0,0.0,35698355.0,107.16
2016-02-23,1.0,0.109,0.826,0.065,0.0,0.0,1.0,0.0,25319311.0,105.46
2016-02-24,1.0,0.109,0.826,0.065,0.7301,0.085,0.852,0.064,34412437.0,106.88
2016-02-25,1.0,0.109,0.826,0.065,-0.7717,0.0,0.891,0.109,29906278.0,108.07
2016-02-26,1.0,0.109,0.826,0.065,-0.7717,0.0,0.891,0.109,26686193.0,107.92
2016-02-27,1.0,0.109,0.826,0.065,-0.7717,0.0,0.891,0.109,26686193.0,107.92
2016-02-28,1.0,0.109,0.826,0.065,-0.7717,0.0,0.891,0.109,26686193.0,107.92
2016-02-29,1.0,0.109,0.826,0.065,0.06746666666666663,0.103,0.8393333333333334,0.057666666666666665,32778992.0,106.92
2016-03-01,1.0,0.109,0.826,0.065,0.06746666666666663,0.103,0.8393333333333334,0.057666666666666665,26817309.0,109.82
2016-03-02,1.0,0.109,0.826,0.065,0.6908,0.072,0.928,0.0,25670170.0,109.95
2016-03-03,1.0,0.109,0.826,0.065,0.5256,0.094,0.874,0.032,21353092.0,109.58
2016-03-04,1.0,0.109,0.826,0.065,0.3685,0.106,0.8716666666666667,0.022333333333333334,24938858.0,108.39
2016-03-05,1.0,0.109,0.826,0.065,0.3685,0.106,0.8716666666666667,0.022333333333333334,24938858.0,108.39
2016-03-06,1.0,0.109,0.826,0.065,0.3685,0.106,0.8716666666666667,0.022333333333333334,24938858.0,108.39
2016-03-07,1.0,0.109,0.826,0.065,0.3685,0.106,0.8716666666666667,0.022333333333333334,31528655.0,105.73
2016-03-08,1.0,0.109,0.826,0.065,-0.25,0.172,0.574,0.254,25616963.0,105.93
2016-03-09,1.0,0.109,0.826,0.065,-0.25,0.172,0.574,0.254,20493305.0,107.51
2016-03-10,1.0,0.109,0.826,0.065,-0.25,0.172,0.574,0.254,24854284.0,107.32
2016-03-11,1.0,0.109,0.826,0.065,-0.38585,0.0,0.9450000000000001,0.055,20697553.0,109.41
2016-03-12,1.0,0.109,0.826,0.065,-0.38585,0.0,0.9450000000000001,0.055,20697553.0,109.41
2016-03-13,1.0,0.109,0.826,0.065,-0.38585,0.0,0.9450000000000001,0.055,20697553.0,109.41
2016-03-14,1.0,0.109,0.826,0.065,0.5574,0.206,0.709,0.084,17249365.0,109.89
2016-03-15,1.0,0.109,0.826,0.065,0.9531,0.173,0.804,0.023,17618460.0,110.67
2016-03-16,1.0,0.109,0.826,0.065,0.9531,0.173,0.804,0.023,24744778.0,112.18
2016-03-17,1.0,0.109,0.826,0.065,0.9531,0.173,0.804,0.023,24241247.0,111.02
2016-03-18,1.0,0.109,0.826,0.065,0.9531,0.173,0.804,0.023,36256877.0,111.45
2016-03-19,1.0,0.109,0.826,0.065,0.9531,0.173,0.804,0.023,36256877.0,111.45
2016-03-20,1.0,0.109,0.826,0.065,0.9531,0.173,0.804,0.023,36256877.0,111.45
2016-03-21,1.0,0.109,0.826,0.065,-0.1511,0.0,0.863,0.137,18447974.0,111.85
2016-03-22,1.0,0.109,0.826,0.065,-0.1511,0.0,0.863,0.137,19001076.0,112.25
2016-03-23,1.0,0.109,0.826,0.065,-0.1511,0.0,0.863,0.137,18561974.0,112.54
2016-03-24,1.0,0.109,0.826,0.065,-0.20095,0.0,0.874,0.126,17839119.0,113.05
2016-03-25,1.0,0.109,0.826,0.065,0.67255,0.0785,0.9105000000000001,0.0115,17839119.0,113.05
2016-03-26,1.0,0.109,0.826,0.065,0.67255,0.0785,0.9105000000000001,0.0115,17839119.0,113.05
2016-03-27,1.0,0.109,0.826,0.065,0.67255,0.0785,0.9105000000000001,0.0115,17839119.0,113.05
2016-03-28,1.0,0.109,0.826,0.065,0.0772,0.061,0.939,0.0,21351751.0,113.69
