,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2015-12-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,391854.0,125.56
2015-12-02,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,311144.0,124.52
2015-12-03,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,504203.0,120.65
2015-12-04,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,362951.0,121.78
2015-12-05,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,362951.0,121.78
2015-12-06,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,362951.0,121.78
2015-12-07,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,332611.0,119.8
2015-12-08,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,305954.0,119.52
2015-12-09,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,363557.0,116.75
2015-12-10,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,410113.0,118.22
2015-12-11,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,623221.0,114.11
2015-12-12,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,623221.0,114.11
2015-12-13,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,623221.0,114.11
2015-12-14,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,417088.0,115.73
2015-12-15,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,407235.0,118.44
2015-12-16,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,433420.0,116.6
2015-12-17,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,569853.0,114.26
2015-12-18,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,448383.0,111.56
2015-12-19,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,448383.0,111.56
2015-12-20,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,448383.0,111.56
2015-12-21,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,319292.0,112.73
2015-12-22,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,319689.0,111.77
2015-12-23,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,248014.0,113.77
2015-12-24,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,111696.0,114.09
2015-12-25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,111696.0,114.09
2015-12-26,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,111696.0,114.09
2015-12-27,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,111696.0,114.09
2015-12-28,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,341332.0,113.99
2015-12-29,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,202586.0,115.12
2015-12-30,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,253214.0,114.36
2015-12-31,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,184714.0,114.34
2016-01-01,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,184714.0,114.34
