,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2019-05-10,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,9031214.0,15.26
2019-05-11,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,9031214.0,15.26
2019-05-12,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,9031214.0,15.26
2019-05-13,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,10308064.0,15.03
2019-05-14,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,9638432.0,15.46
2019-05-15,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,7123527.0,15.43
2019-05-16,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,9776165.0,15.71
2019-05-17,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,9007001.0,15.47
2019-05-18,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,9007001.0,15.47
2019-05-19,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,9007001.0,15.47
2019-05-20,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,10925947.0,15.54
2019-05-21,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,11141881.0,15.84
2019-05-22,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,12054027.0,15.43
2019-05-23,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,14136619.0,14.56
2019-05-24,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,8827397.0,14.43
2019-05-25,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,8827397.0,14.43
2019-05-26,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,8827397.0,14.43
2019-05-27,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,8827397.0,14.43
2019-05-28,1.0,0.111,0.846,0.042,-0.9062,0.057,0.594,0.349,8829963.0,14.33
2019-05-29,1.0,0.111,0.846,0.042,-0.8771,0.074,0.76,0.166,14676857.0,14.09
2019-05-30,1.0,0.111,0.846,0.042,-0.8771,0.074,0.76,0.166,12146343.0,13.62
2019-05-31,1.0,0.111,0.846,0.042,-0.8771,0.074,0.76,0.166,13256422.0,13.15
2019-06-01,1.0,0.111,0.846,0.042,-0.8771,0.074,0.76,0.166,13256422.0,13.15
2019-06-02,1.0,0.111,0.846,0.042,-0.8771,0.074,0.76,0.166,13256422.0,13.15
2019-06-03,1.0,0.111,0.846,0.042,-0.8771,0.074,0.76,0.166,12766456.0,13.33
2019-06-04,1.0,0.111,0.846,0.042,-0.8771,0.074,0.76,0.166,10045916.0,13.45
2019-06-05,1.0,0.111,0.846,0.042,-0.8771,0.074,0.76,0.166,17934188.0,13.19
2019-06-06,1.0,0.111,0.846,0.042,-0.8771,0.074,0.76,0.166,13406278.0,13.25
