,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2015-12-01,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,119604.0,22.94
2015-12-02,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,148964.0,22.47
2015-12-03,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,164366.0,22.91
2015-12-04,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,293969.0,22.11
2015-12-05,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,293969.0,22.11
2015-12-06,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,293969.0,22.11
2015-12-07,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,211653.0,21.21
2015-12-08,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,133308.0,21.11
2015-12-09,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,212335.0,21.37
2015-12-10,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,313002.0,21.86
2015-12-11,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,175579.0,20.84
2015-12-12,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,175579.0,20.84
2015-12-13,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,175579.0,20.84
2015-12-14,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,182142.0,20.61
2015-12-15,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,182551.0,21.08
2015-12-16,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,208444.0,21.2
2015-12-17,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,203089.0,20.65
2015-12-18,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,730055.0,19.88
2015-12-19,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,730055.0,19.88
2015-12-20,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,730055.0,19.88
2015-12-21,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,203157.0,20.14
2015-12-22,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,108311.0,20.67
2015-12-23,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,140072.0,21.61
2015-12-24,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,95220.0,21.1
2015-12-25,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,95220.0,21.1
2015-12-26,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,95220.0,21.1
2015-12-27,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,95220.0,21.1
2015-12-28,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,149016.0,20.57
2015-12-29,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,115411.0,20.99
2015-12-30,0.9999,0.142,0.821,0.037,-0.8271,0.069,0.808,0.123,94144.0,20.83
2015-12-31,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,196465.0,20.54
2016-01-01,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,196465.0,20.54
2016-01-02,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,196465.0,20.54
2016-01-03,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,196465.0,20.54
2016-01-04,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,177921.0,20.31
2016-01-05,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,113426.0,19.99
2016-01-06,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,142428.0,19.46
2016-01-07,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,190465.0,18.69
2016-01-08,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,287462.0,18.11
2016-01-09,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,287462.0,18.11
2016-01-10,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,287462.0,18.11
2016-01-11,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,186749.0,18.03
2016-01-12,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,469872.0,17.83
2016-01-13,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,506390.0,19.07
2016-01-14,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,185991.0,19.67
2016-01-15,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,171474.0,18.69
2016-01-16,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,171474.0,18.69
2016-01-17,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,171474.0,18.69
2016-01-18,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,171474.0,18.69
2016-01-19,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,227945.0,17.63
2016-01-20,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,214364.0,17.94
2016-01-21,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,224961.0,18.13
2016-01-22,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,153170.0,18.57
2016-01-23,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,153170.0,18.57
2016-01-24,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,153170.0,18.57
2016-01-25,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,141335.0,18.32
2016-01-26,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,130516.0,19.2
2016-01-27,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,192057.0,18.34
2016-01-28,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,214645.0,18.1
2016-01-29,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,282559.0,18.96
2016-01-30,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,282559.0,18.96
2016-01-31,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,282559.0,18.96
2016-02-01,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,176078.0,19.11
2016-02-02,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,168294.0,18.62
2016-02-03,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,202359.0,19.34
2016-02-04,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,878194.0,16.39
2016-02-05,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,281716.0,15.58
2016-02-06,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,281716.0,15.58
2016-02-07,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,281716.0,15.58
2016-02-08,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,375495.0,15.34
2016-02-09,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,395310.0,16.36
2016-02-10,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,283483.0,15.83
2016-02-11,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,335663.0,15.72
2016-02-12,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,194142.0,16.26
2016-02-13,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,194142.0,16.26
2016-02-14,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,194142.0,16.26
2016-02-15,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,194142.0,16.26
2016-02-16,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,210298.0,16.52
2016-02-17,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,211330.0,17.35
2016-02-18,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,279709.0,17.18
2016-02-19,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,140706.0,17.08
2016-02-20,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,140706.0,17.08
2016-02-21,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,140706.0,17.08
2016-02-22,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,260417.0,17.48
2016-02-23,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,241034.0,17.22
2016-02-24,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,130657.0,17.21
2016-02-25,1.0,0.141,0.821,0.038,-0.8271,0.069,0.808,0.123,207253.0,17.19
