,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2015-12-01,1.0,0.11,0.865,0.024,0.6405,0.061,0.911,0.028,12550755.0,125.37
2015-12-02,1.0,0.11,0.865,0.024,0.44144285714285714,0.15871428571428572,0.7938571428571429,0.04757142857142858,24105712.0,128.93
2015-12-03,1.0,0.11,0.865,0.024,0.44144285714285714,0.15871428571428572,0.7938571428571429,0.04757142857142858,26644540.0,126.81
2015-12-04,1.0,0.11,0.865,0.024,0.91,0.362,0.638,0.0,20250411.0,130.93
2015-12-05,1.0,0.11,0.865,0.024,0.91,0.362,0.638,0.0,20250411.0,130.93
2015-12-06,1.0,0.11,0.865,0.024,0.91,0.362,0.638,0.0,20250411.0,130.93
2015-12-07,1.0,0.11,0.865,0.024,0.9643,0.266,0.734,0.0,23351531.0,125.36
2015-12-08,1.0,0.11,0.865,0.024,0.9643,0.266,0.734,0.0,18591147.0,126.98
2015-12-09,1.0,0.11,0.865,0.024,0.9643,0.266,0.734,0.0,17788797.0,124.2
2015-12-10,1.0,0.11,0.865,0.024,0.9643,0.266,0.734,0.0,13474119.0,122.91
2015-12-11,1.0,0.11,0.865,0.024,0.9643,0.266,0.734,0.0,16105315.0,118.91
2015-12-12,1.0,0.11,0.865,0.024,0.9643,0.266,0.734,0.0,16105315.0,118.91
2015-12-13,1.0,0.11,0.865,0.024,0.9643,0.266,0.734,0.0,16105315.0,118.91
2015-12-14,1.0,0.11,0.865,0.024,0.9643,0.266,0.734,0.0,18732738.0,120.67
2015-12-15,1.0,0.11,0.865,0.024,0.9643,0.266,0.734,0.0,11759993.0,118.6
2015-12-16,1.0,0.11,0.865,0.024,0.9643,0.266,0.734,0.0,13180982.0,122.64
2015-12-17,1.0,0.11,0.865,0.024,0.9643,0.266,0.734,0.0,17284872.0,122.51
2015-12-18,1.0,0.11,0.865,0.024,0.9643,0.266,0.734,0.0,17948060.0,118.02
