,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2015-12-01,0.0,0.0,1.0,0.0,0.6405,0.061,0.911,0.028,14893927.0,35.17
2015-12-02,0.0,0.0,1.0,0.0,0.6405,0.061,0.911,0.028,5762384.0,35.15
2015-12-03,0.0,0.0,1.0,0.0,0.6405,0.061,0.911,0.028,7311905.0,34.23
2015-12-04,0.0,0.0,1.0,0.0,0.6405,0.061,0.911,0.028,10664349.0,35.62
2015-12-05,0.0,0.0,1.0,0.0,0.6405,0.061,0.911,0.028,10664349.0,35.62
2015-12-06,0.0,0.0,1.0,0.0,0.6405,0.061,0.911,0.028,10664349.0,35.62
2015-12-07,0.0,0.0,1.0,0.0,0.6405,0.061,0.911,0.028,4917953.0,35.16
2015-12-08,0.0,0.0,1.0,0.0,0.6405,0.061,0.911,0.028,7420819.0,35.6
2015-12-09,0.0,0.0,1.0,0.0,0.6405,0.061,0.911,0.028,7381669.0,35.07
2015-12-10,0.0,0.0,1.0,0.0,0.6405,0.061,0.911,0.028,6949734.0,35.49
2015-12-11,0.0,0.0,1.0,0.0,0.6405,0.061,0.911,0.028,8309205.0,34.69
2015-12-12,0.0,0.0,1.0,0.0,0.6405,0.061,0.911,0.028,8309205.0,34.69
2015-12-13,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,8309205.0,34.69
2015-12-14,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,5803074.0,35.01
2015-12-15,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,11709851.0,36.32
2015-12-16,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,7076271.0,35.98
2015-12-17,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,6454069.0,35.54
2015-12-18,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,13745948.0,34.98
2015-12-19,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,13745948.0,34.98
2015-12-20,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,13745948.0,34.98
2015-12-21,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,5856044.0,36.08
2015-12-22,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,6030899.0,36.805
2015-12-23,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,7579531.0,37.11
2015-12-24,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,2133437.0,37.07
2015-12-25,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,2133437.0,37.07
2015-12-26,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,2133437.0,37.07
2015-12-27,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,2133437.0,37.07
2015-12-28,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,4930147.0,36.61
2015-12-29,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,3436624.0,37.08
2015-12-30,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,4106613.0,36.48
2015-12-31,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,4481936.0,36.2
2016-01-01,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,4481936.0,36.2
2016-01-02,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,4481936.0,36.2
2016-01-03,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,4481936.0,36.2
2016-01-04,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,12287716.0,34.75
2016-01-05,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,11227717.0,34.31
2016-01-06,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,8441271.0,33.98
2016-01-07,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,11041083.0,33.13
2016-01-08,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,7848846.0,32.69
2016-01-09,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,7848846.0,32.69
2016-01-10,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,7848846.0,32.69
2016-01-11,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,8937358.0,33.04
2016-01-12,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,7853995.0,33.08
2016-01-13,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,8069449.0,32.12
2016-01-14,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,7749477.0,32.87
2016-01-15,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,12174356.0,32.31
2016-01-16,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,12174356.0,32.31
2016-01-17,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,12174356.0,32.31
2016-01-18,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,12174356.0,32.31
2016-01-19,0.0,0.0,1.0,0.0,0.6767000000000001,0.133,0.8545,0.0125,6674703.0,32.2
