,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2015-12-01,1.0,0.112,0.849,0.04,0.2732,0.174,0.826,0.0,734733.0,8.88
2015-12-02,1.0,0.112,0.849,0.04,0.2732,0.174,0.826,0.0,212898.0,8.73
2015-12-03,1.0,0.112,0.849,0.04,0.2732,0.174,0.826,0.0,523551.0,8.72
2015-12-04,1.0,0.112,0.849,0.04,-0.7184,0.0,0.793,0.207,403099.0,8.89
2015-12-05,1.0,0.112,0.849,0.04,-0.7184,0.0,0.793,0.207,403099.0,8.89
2015-12-06,1.0,0.112,0.849,0.04,-0.7184,0.0,0.793,0.207,403099.0,8.89
2015-12-07,1.0,0.112,0.849,0.04,-0.7925,0.0,0.851,0.149,460234.0,8.34
2015-12-08,1.0,0.112,0.849,0.04,-0.7925,0.0,0.851,0.149,372204.0,8.31
2015-12-09,1.0,0.112,0.849,0.04,-0.7925,0.0,0.851,0.149,300710.0,8.63
2015-12-10,1.0,0.112,0.849,0.04,-0.7925,0.0,0.851,0.149,182602.0,8.69
2015-12-11,1.0,0.112,0.849,0.04,0.8122,0.113,0.887,0.0,364773.0,8.38
2015-12-12,1.0,0.112,0.849,0.04,0.8122,0.113,0.887,0.0,364773.0,8.38
2015-12-13,1.0,0.112,0.849,0.04,0.8122,0.113,0.887,0.0,364773.0,8.38
2015-12-14,1.0,0.112,0.849,0.04,0.8122,0.113,0.887,0.0,298190.0,8.27
2015-12-15,1.0,0.112,0.849,0.04,0.8122,0.113,0.887,0.0,264515.0,8.46
2015-12-16,1.0,0.112,0.849,0.04,0.8122,0.113,0.887,0.0,431320.0,8.88
2015-12-17,1.0,0.112,0.849,0.04,0.8122,0.113,0.887,0.0,445572.0,8.61
2015-12-18,1.0,0.112,0.849,0.04,0.8122,0.113,0.887,0.0,663997.0,8.64
2015-12-19,1.0,0.112,0.849,0.04,0.8122,0.113,0.887,0.0,663997.0,8.64
2015-12-20,1.0,0.112,0.849,0.04,0.8122,0.113,0.887,0.0,663997.0,8.64
