date,RevenueFromContractWithCustomerExcludingAssessedTax,CostOfRevenue,OperationsAndSupportExpense,ResearchAndDevelopmentExpense,SellingAndMarketingExpense,GeneralAndAdministrativeExpense,RestructuringCharges,CostsAndExpenses,OperatingIncomeLoss,InvestmentIncomeNonoperating,InterestIncomeExpenseNonoperatingNet,OtherNonoperatingIncomeExpense,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IncomeTaxExpenseBenefit,NetIncomeLoss,IncomeLossFromContinuingOperationsPerBasicShare,IncomeLossFromContinuingOperationsPerDilutedShare,WeightedAverageNumberOfSharesOutstandingBasic,WeightedAverageNumberOfDilutedSharesOutstanding,ticker,close,volume
2020-12-10,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,144.71,70470750.0
2020-12-11,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,139.25,26981241.0
2020-12-14,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,130.0,16966090.0
2020-12-15,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,124.8,10914466.0
2020-12-16,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,137.99,20410248.0
2020-12-17,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,147.05,15054741.0
2020-12-18,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,157.3,15954535.0
2020-12-21,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,163.02,17788120.0
2020-12-22,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,163.19,9892384.0
2020-12-23,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,158.01,5852486.0
2020-12-24,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,154.84,3621360.0
2020-12-28,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,149.0,6229179.0
2020-12-29,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,150.0,5402266.0
2020-12-30,1342331000.0,227325000.0,166106000.0,213920000.0,113494000.0,180021000.0,22728000.0,923594000.0,418737000.0,4325000.0,-59867000.0,-56143000.0,307052000.0,87724000.0,219328000.0,0.0,0.0,265137000.0,299206000.0,ABNB,148.43,3462445.0
2020-12-31,859264000.0,209747000.0,329532000.0,2062195000.0,629815000.0,713769000.0,14386000.0,3959444000.0,-3100180000.0,3287000.0,-64140000.0,-831469000.0,-3992502000.0,-104651000.0,-3887851000.0,0.0,0.0,284363000.0,284363000.0,ABNB,146.8,2795813.0
2021-01-04,859264000.0,209747000.0,329532000.0,2062195000.0,629815000.0,713769000.0,14386000.0,3959444000.0,-3100180000.0,3287000.0,-64140000.0,-831469000.0,-3992502000.0,-104651000.0,-3887851000.0,0.0,0.0,284363000.0,284363000.0,ABNB,139.15,6415486.0
2021-01-05,859264000.0,209747000.0,329532000.0,2062195000.0,629815000.0,713769000.0,14386000.0,3959444000.0,-3100180000.0,3287000.0,-64140000.0,-831469000.0,-3992502000.0,-104651000.0,-3887851000.0,0.0,0.0,284363000.0,284363000.0,ABNB,148.3,5975646.0
2021-01-06,859264000.0,209747000.0,329532000.0,2062195000.0,629815000.0,713769000.0,14386000.0,3959444000.0,-3100180000.0,3287000.0,-64140000.0,-831469000.0,-3992502000.0,-104651000.0,-3887851000.0,0.0,0.0,284363000.0,284363000.0,ABNB,142.77,4213936.0
2021-01-07,859264000.0,209747000.0,329532000.0,2062195000.0,629815000.0,713769000.0,14386000.0,3959444000.0,-3100180000.0,3287000.0,-64140000.0,-831469000.0,-3992502000.0,-104651000.0,-3887851000.0,0.0,0.0,284363000.0,284363000.0,ABNB,151.27,4482769.0
2021-01-08,859264000.0,209747000.0,329532000.0,2062195000.0,629815000.0,713769000.0,14386000.0,3959444000.0,-3100180000.0,3287000.0,-64140000.0,-831469000.0,-3992502000.0,-104651000.0,-3887851000.0,0.0,0.0,284363000.0,284363000.0,ABNB,149.77,4615625.0
2021-01-11,859264000.0,209747000.0,329532000.0,2062195000.0,629815000.0,713769000.0,14386000.0,3959444000.0,-3100180000.0,3287000.0,-64140000.0,-831469000.0,-3992502000.0,-104651000.0,-3887851000.0,0.0,0.0,284363000.0,284363000.0,ABNB,148.13,2801881.0
