,ticker,periodOfReport,linkToFilingDetails,formType,cik
0,NFLX,2022-03-31,https://www.sec.gov/Archives/edgar/data/1065280/000106528022000145/nflx-20220331.htm,10-Q,1065280
1,NFLX,2021-09-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000363/nflx-20210930.htm,10-Q,1065280
2,NFLX,2021-06-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000250/nflx-20210630.htm,10-Q,1065280
3,NFLX,2021-03-31,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000144/nflx-20210331.htm,10-Q,1065280
4,NFLX,2020-09-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528020000451/form10qq320.htm,10-Q,1065280
5,NFLX,2020-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065280/000106528020000309/form10qq220.htm,10-Q,1065280
6,NFLX,2020-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065280/000106528020000155/form10qq120.htm,10-Q,1065280
7,NFLX,2019-09-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065280/000106528019000368/form10qq319.htm,10-Q,1065280
8,NFLX,2019-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1065280/000106528019000260/form10qq219.htm,10-Q,1065280
9,NFLX,2019-03-31,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000157/form10q_q119.htm,10-Q,1065280
10,NFLX,2018-09-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000538/nflx-093018x10qxdoc.htm,10-Q,1065280
11,NFLX,2018-06-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000360/nflx-063018x10qxdoc.htm,10-Q,1065280
12,NFLX,2018-03-31,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000205/nflx-033118x10qxdoc.htm,10-Q,1065280
13,NFLX,2017-09-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528017000180/nflx-093017x10qxdoc.htm,10-Q,1065280
14,NFLX,2017-06-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528017000046/nflx-063017x10qxdoc.htm,10-Q,1065280
15,NFLX,2017-03-31,https://www.sec.gov/Archives/edgar/data/1065280/000162828017003939/nflx-033117x10qxdoc.htm,10-Q,1065280
16,NFLX,2016-09-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528016000081/nflx-93016x10qxdoc.htm,10-Q,1065280
17,NFLX,2016-06-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528016000072/nflx-63016x10qxdoc.htm,10-Q,1065280
18,NFLX,2016-03-31,https://www.sec.gov/Archives/edgar/data/1065280/000106528016000057/nflx-33116x10qxdoc.htm,10-Q,1065280
19,NFLX,2015-09-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528015000038/nflx-093015x10qxdoc.htm,10-Q,1065280
20,NFLX,2015-06-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528015000031/nflx-063015x10qxdoc.htm,10-Q,1065280
21,NFLX,2015-03-31,https://www.sec.gov/Archives/edgar/data/1065280/000106528015000017/nflx-033115x10qxdoc.htm,10-Q,1065280
22,NFLX,2014-09-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528014000028/nflx-9301410qdoc.htm,10-Q,1065280
23,NFLX,2014-06-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528014000021/nflx-63014x10qxdoc.htm,10-Q,1065280
24,NFLX,2014-03-31,https://www.sec.gov/Archives/edgar/data/1065280/000106528014000012/nflx-33114x10qxdoc.htm,10-Q,1065280
25,NFLX,2013-09-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528013000036/nflx-09301310qdoc.htm,10-Q,1065280
26,NFLX,2013-06-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528013000030/nflx-063013x10qxdoc.htm,10-Q,1065280
27,NFLX,2013-03-31,https://www.sec.gov/Archives/edgar/data/1065280/000106528013000020/nflx-033113x10qxdoc.htm,10-Q,1065280
28,NFLX,2012-09-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528012000023/nflx-093012x10qxdoc1.htm,10-Q/A,1065280
29,NFLX,2012-09-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528012000020/nflx-093012x10qxdoc.htm,10-Q,1065280
30,NFLX,2012-06-30,https://www.sec.gov/Archives/edgar/data/1065280/000106528012000012/nflx-063012x10qxdoc.htm,10-Q,1065280
31,FB,2022-03-31,https://www.sec.gov/Archives/edgar/data/1326801/000132680122000057/meta-20220331.htm,10-Q,1326801
32,FB,2021-09-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000065/fb-20210930.htm,10-Q,1326801
33,FB,2021-06-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000049/fb-20210630.htm,10-Q,1326801
34,FB,2021-03-31,https://www.sec.gov/Archives/edgar/data/1326801/000132680121000033/fb-20210331.htm,10-Q,1326801
35,FB,2020-09-30,https://www.sec.gov/Archives/edgar/data/1326801/000132680120000084/fb-09302020x10q.htm,10-Q,1326801
36,FB,2020-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326801/000132680120000076/fb-06302020x10q.htm,10-Q,1326801
37,FB,2020-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326801/000132680120000048/fb-03312020x10q.htm,10-Q,1326801
38,FB,2019-09-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326801/000132680119000069/fb-09302019x10q.htm,10-Q,1326801
39,FB,2019-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1326801/000132680119000055/fb-06302019x10q.htm,10-Q,1326801
40,FB,2019-03-31,https://www.sec.gov/Archives/edgar/data/1326801/000132680119000037/fb-03312019x10q.htm,10-Q,1326801
