date,ticker,pos,neg,neu,compound,ticker,close,volume
2020-12-31,ABNB,0.122,0.065,0.812,1.0,ABNB,146.8,2795813
2021-01-04,ABNB,0.122,0.065,0.812,1.0,ABNB,139.15,6415486
2021-01-05,ABNB,0.122,0.065,0.812,1.0,ABNB,148.3,5975646
2021-01-06,ABNB,0.122,0.065,0.812,1.0,ABNB,142.77,4213936
2021-01-07,ABNB,0.122,0.065,0.812,1.0,ABNB,151.27,4482769
2021-01-08,ABNB,0.122,0.065,0.812,1.0,ABNB,149.77,4615625
2021-01-11,ABNB,0.122,0.065,0.812,1.0,ABNB,148.13,2801881
2021-01-12,ABNB,0.122,0.065,0.812,1.0,ABNB,160.8,8145892
2021-01-13,ABNB,0.122,0.065,0.812,1.0,ABNB,169.99,12529726
2021-01-14,ABNB,0.122,0.065,0.812,1.0,ABNB,180.5,9926639
2021-01-15,ABNB,0.122,0.065,0.812,1.0,ABNB,169.27,8575722
2021-01-19,ABNB,0.122,0.065,0.812,1.0,ABNB,173.69,4685415
2021-01-20,ABNB,0.122,0.065,0.812,1.0,ABNB,161.83,8517416
2021-01-21,ABNB,0.122,0.065,0.812,1.0,ABNB,180.4,17618516
2021-01-22,ABNB,0.122,0.065,0.812,1.0,ABNB,181.87,7137011
2021-01-25,ABNB,0.122,0.065,0.812,1.0,ABNB,177.53,7471922
2021-01-26,ABNB,0.122,0.065,0.812,1.0,ABNB,192.74,6460998
2021-01-27,ABNB,0.122,0.065,0.812,1.0,ABNB,201.25,11020033
2021-01-28,ABNB,0.122,0.065,0.812,1.0,ABNB,187.37,7077792
2021-01-29,ABNB,0.122,0.065,0.812,1.0,ABNB,183.63,4543469
2021-02-01,ABNB,0.122,0.065,0.812,1.0,ABNB,180.44,3877389
2021-02-02,ABNB,0.122,0.065,0.812,1.0,ABNB,179.17,4413624
2021-02-03,ABNB,0.122,0.065,0.812,1.0,ABNB,185.72,4185827
2021-02-04,ABNB,0.122,0.065,0.812,1.0,ABNB,195.8,3637039
2021-02-05,ABNB,0.122,0.065,0.812,1.0,ABNB,195.31,2869669
2021-02-08,ABNB,0.122,0.065,0.812,1.0,ABNB,200.43,3492593
2021-02-09,ABNB,0.122,0.065,0.812,1.0,ABNB,199.88,4725841
2021-02-10,ABNB,0.122,0.065,0.812,1.0,ABNB,211.66,5257299
2021-02-11,ABNB,0.122,0.065,0.812,1.0,ABNB,216.84,3595301
2021-02-12,ABNB,0.122,0.065,0.812,1.0,ABNB,212.68,3041744
2021-02-16,ABNB,0.122,0.065,0.812,1.0,ABNB,209.86,3487938
2021-02-17,ABNB,0.122,0.065,0.812,1.0,ABNB,201.96,4090619
2021-02-18,ABNB,0.122,0.065,0.812,1.0,ABNB,198.04,2791419
2021-02-19,ABNB,0.122,0.065,0.812,1.0,ABNB,201.07,2605901
2021-02-22,ABNB,0.122,0.065,0.812,1.0,ABNB,195.34,3674223
2021-02-23,ABNB,0.122,0.065,0.812,1.0,ABNB,187.59,5902429
2021-02-24,ABNB,0.122,0.065,0.812,1.0,ABNB,200.2,5983538
2021-02-25,ABNB,0.122,0.065,0.812,1.0,ABNB,182.06,11568492
2021-02-26,ABNB,0.122,0.065,0.812,1.0,ABNB,206.35,19368608
2021-03-01,ABNB,0.122,0.065,0.812,1.0,ABNB,196.42,15798527
2021-03-02,ABNB,0.122,0.065,0.812,1.0,ABNB,189.9,9144947
2021-03-03,ABNB,0.122,0.065,0.812,1.0,ABNB,180.4,10592934
2021-03-04,ABNB,0.122,0.065,0.812,1.0,ABNB,180.23,9997271
2021-03-05,ABNB,0.122,0.065,0.812,1.0,ABNB,179.81,8788544
2021-03-08,ABNB,0.122,0.065,0.812,1.0,ABNB,180.81,4988473
2021-03-09,ABNB,0.122,0.065,0.812,1.0,ABNB,183.11,6089425
2021-03-10,ABNB,0.122,0.065,0.812,1.0,ABNB,183.79,6145645
2021-03-11,ABNB,0.122,0.065,0.812,1.0,ABNB,197.87,6045594
2021-03-12,ABNB,0.122,0.065,0.812,1.0,ABNB,206.74,5556463
2021-03-15,ABNB,0.122,0.065,0.812,1.0,ABNB,209.99,4337605
2021-03-16,ABNB,0.122,0.065,0.812,1.0,ABNB,200.01,4605572
2021-03-17,ABNB,0.122,0.065,0.812,1.0,ABNB,201.36,3781866
2021-03-18,ABNB,0.122,0.065,0.812,1.0,ABNB,191.45,3729507
2021-03-19,ABNB,0.122,0.065,0.812,1.0,ABNB,194.39,4457453
2021-03-22,ABNB,0.122,0.065,0.812,1.0,ABNB,195.0,3740448
2021-03-23,ABNB,0.122,0.065,0.812,1.0,ABNB,187.14,3482790
2021-03-24,ABNB,0.122,0.065,0.812,1.0,ABNB,178.85,3756097
2021-03-25,ABNB,0.122,0.065,0.812,1.0,ABNB,176.16,5284825
2021-03-26,ABNB,0.122,0.065,0.812,1.0,ABNB,174.4,3562912
2021-03-29,ABNB,0.122,0.065,0.812,1.0,ABNB,182.5,4516260
2021-03-30,ABNB,0.122,0.065,0.812,1.0,ABNB,183.1,2903262
2021-03-31,ABNB,0.107,0.028,0.865,0.9999,ABNB,187.94,3081375
2021-04-01,ABNB,0.107,0.028,0.865,0.9999,ABNB,188.24,2919095
2021-04-05,ABNB,0.107,0.028,0.865,0.9999,ABNB,186.69,2587816
2021-04-06,ABNB,0.107,0.028,0.865,0.9999,ABNB,190.03,3565018
2021-04-07,ABNB,0.107,0.028,0.865,0.9999,ABNB,179.94,6652240
2021-04-08,ABNB,0.107,0.028,0.865,0.9999,ABNB,180.18,2623446
2021-04-09,ABNB,0.107,0.028,0.865,0.9999,ABNB,179.5,2906857
2021-04-12,ABNB,0.107,0.028,0.865,0.9999,ABNB,176.5,2544801
2021-04-13,ABNB,0.107,0.028,0.865,0.9999,ABNB,177.95,3335906
2021-04-14,ABNB,0.107,0.028,0.865,0.9999,ABNB,176.22,2920034
2021-04-15,ABNB,0.107,0.028,0.865,0.9999,ABNB,175.375,2861704
2021-04-16,ABNB,0.107,0.028,0.865,0.9999,ABNB,178.64,2931952
2021-04-19,ABNB,0.107,0.028,0.865,0.9999,ABNB,174.59,3043889
2021-04-20,ABNB,0.107,0.028,0.865,0.9999,ABNB,169.57,4489886
2021-04-21,ABNB,0.107,0.028,0.865,0.9999,ABNB,166.985,3817114
2021-04-22,ABNB,0.107,0.028,0.865,0.9999,ABNB,170.71,3879217
