,periodOfReport,ticker,pos,neg,neu,compound,date,ticker,close,volume
15876,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-01,BLK,361.73,739986.0
15877,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-02,BLK,358.92,1081150.0
15878,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-03,BLK,352.0,890944.0
15879,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-04,BLK,360.76,684546.0
15880,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-07,BLK,355.47,583535.0
15881,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-08,BLK,348.94,758722.0
15882,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-09,BLK,344.57,663970.0
15883,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-10,BLK,345.25,659404.0
15884,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-11,BLK,322.78,1636320.0
15885,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-14,BLK,319.6,1267866.0
15886,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-15,BLK,329.54,1032479.0
15887,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-16,BLK,331.0,1157466.0
15888,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-17,BLK,330.21,1127062.0
15889,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-18,BLK,321.47,1025183.0
15890,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-21,BLK,325.55,534462.0
15891,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-22,BLK,330.51,711685.0
15892,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-23,BLK,339.64,678370.0
15893,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-24,BLK,337.4,240267.0
15894,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-28,BLK,342.45,866044.0
15895,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-29,BLK,343.6,480300.0
15896,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-30,BLK,342.05,357250.0
15897,2022-03-31,BLK,0.128,0.032,0.84,1.0,2015-12-31,BLK,340.52,500006.0
15898,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-04,BLK,333.1,958864.0
15899,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-05,BLK,333.96,803216.0
15900,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-06,BLK,330.16,1138503.0
15901,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-07,BLK,315.73,1286052.0
15902,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-08,BLK,307.78,1500286.0
15903,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-11,BLK,308.32,1258384.0
15904,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-12,BLK,313.59,1096797.0
15905,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-13,BLK,304.61,1200037.0
15906,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-14,BLK,310.0,1373720.0
15907,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-15,BLK,296.58,1972566.0
15908,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-19,BLK,294.0,1070400.0
15909,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-20,BLK,292.0,1685858.0
15910,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-21,BLK,289.9,1100307.0
15911,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-22,BLK,300.56,781989.0
15912,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-25,BLK,289.72,1012081.0
15913,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-26,BLK,299.26,1066418.0
15914,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-27,BLK,302.12,1147918.0
15915,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-28,BLK,299.17,1023857.0
15916,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-01-29,BLK,314.26,986460.0
15917,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-01,BLK,312.25,763326.0
15918,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-02,BLK,301.21,1046891.0
15919,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-03,BLK,304.06,1372264.0
15920,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-04,BLK,313.7,1037604.0
15921,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-05,BLK,307.75,1060257.0
15922,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-08,BLK,293.46,1162881.0
15923,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-09,BLK,294.53,878849.0
15924,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-10,BLK,298.56,712005.0
15925,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-11,BLK,294.21,1266304.0
15926,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-12,BLK,306.8,941679.0
15927,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-16,BLK,314.47,764596.0
15928,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-17,BLK,319.88,888075.0
15929,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-18,BLK,315.97,660851.0
15930,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-19,BLK,314.29,835258.0
15931,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-22,BLK,316.45,818266.0
15932,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-23,BLK,309.86,758710.0
15933,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-24,BLK,307.98,845653.0
15934,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-25,BLK,313.62,608762.0
15935,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-26,BLK,313.92,678665.0
15936,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-02-29,BLK,311.96,874647.0
15937,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-03-01,BLK,322.57,832284.0
15938,2022-03-31,BLK,0.128,0.032,0.84,1.0,2016-03-02,BLK,326.73,1051437.0
