,periodOfReport,ticker,pos,neg,neu,compound,date,ticker,close,volume
9328,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-01,DVN,46.49,3805240.0
9329,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-02,DVN,43.53,4783966.0
9330,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-03,DVN,41.1,9820844.0
9331,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-04,DVN,40.53,5912416.0
9332,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-07,DVN,36.44,11436328.0
9333,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-08,DVN,35.19,13144216.0
9334,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-09,DVN,35.32,7916082.0
9335,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-10,DVN,35.51,6799667.0
9336,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-11,DVN,33.55,5925446.0
9337,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-14,DVN,31.54,11006438.0
9338,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-15,DVN,31.87,7808522.0
9339,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-16,DVN,30.57,8350471.0
9340,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-17,DVN,28.98,15841423.0
9341,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-18,DVN,28.67,9366535.0
9342,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-21,DVN,28.83,7462727.0
9343,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-22,DVN,29.83,8734092.0
9344,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-23,DVN,33.2,10281697.0
9345,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-24,DVN,32.7,3816944.0
9346,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-28,DVN,31.69,4816591.0
9347,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-29,DVN,32.24,5476462.0
9348,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-30,DVN,31.0,5265479.0
9349,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2015-12-31,DVN,32.0,4454100.0
9350,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2016-01-04,DVN,32.32,6770342.0
9351,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2016-01-05,DVN,32.83,6258126.0
9352,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2016-01-06,DVN,30.21,7777746.0
9353,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2016-01-07,DVN,28.06,11164910.0
9354,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2016-01-08,DVN,28.5,8160518.0
9355,2022-03-31,DVN,0.089,0.038,0.873,0.9999,2016-01-11,DVN,26.97,10690538.0
