date,ticker,pos,neg,neu,compound,ticker,close,volume
2015-12-01,FANG,0.138,0.027,0.835,1.0,FANG,78.2,816698.0
2015-12-02,FANG,0.138,0.027,0.835,1.0,FANG,76.79,1072485.0
2015-12-03,FANG,0.138,0.027,0.835,1.0,FANG,76.75,631471.0
2015-12-04,FANG,0.138,0.027,0.835,1.0,FANG,76.31,1056196.0
2015-12-07,FANG,0.138,0.027,0.835,1.0,FANG,73.85,1624469.0
2015-12-08,FANG,0.138,0.027,0.835,1.0,FANG,74.94,1987595.0
2015-12-09,FANG,0.138,0.027,0.835,1.0,FANG,77.02,1089590.0
2015-12-10,FANG,0.138,0.027,0.835,1.0,FANG,79.09,1794412.0
2015-12-11,FANG,0.138,0.027,0.835,1.0,FANG,76.56,1084728.0
2015-12-14,FANG,0.138,0.027,0.835,1.0,FANG,75.61,1580942.0
2015-12-15,FANG,0.138,0.027,0.835,1.0,FANG,76.51,1440634.0
2015-12-16,FANG,0.138,0.027,0.835,1.0,FANG,72.36,1324808.0
2015-12-17,FANG,0.138,0.027,0.835,1.0,FANG,68.75,2030922.0
2015-12-18,FANG,0.138,0.027,0.835,1.0,FANG,66.16,1670526.0
2015-12-21,FANG,0.138,0.027,0.835,1.0,FANG,62.2,2606823.0
2015-12-22,FANG,0.138,0.027,0.835,1.0,FANG,63.35,1368438.0
2015-12-23,FANG,0.138,0.027,0.835,1.0,FANG,67.46,1192367.0
2015-12-24,FANG,0.138,0.027,0.835,1.0,FANG,67.92,486195.0
2015-12-28,FANG,0.138,0.027,0.835,1.0,FANG,65.43,889841.0
2015-12-29,FANG,0.138,0.027,0.835,1.0,FANG,66.44,815865.0
2015-12-30,FANG,0.138,0.027,0.835,1.0,FANG,66.02,633386.0
2015-12-31,FANG,0.117,0.06,0.823,1.0,FANG,66.9,770369.0
2016-01-04,FANG,0.117,0.06,0.823,1.0,FANG,66.11,1199687.0
2016-01-05,FANG,0.117,0.06,0.823,1.0,FANG,65.19,1006894.0
2016-01-06,FANG,0.117,0.06,0.823,1.0,FANG,62.2,1324917.0
2016-01-07,FANG,0.117,0.06,0.823,1.0,FANG,60.4,1080751.0
2016-01-08,FANG,0.117,0.06,0.823,1.0,FANG,60.76,1259318.0
2016-01-11,FANG,0.117,0.06,0.823,1.0,FANG,57.6,1944867.0
2016-01-12,FANG,0.117,0.06,0.823,1.0,FANG,58.52,2440618.0
2016-01-13,FANG,0.117,0.06,0.823,1.0,FANG,59.51,5736209.0
2016-01-14,FANG,0.117,0.06,0.823,1.0,FANG,62.68,2322853.0
2016-01-15,FANG,0.117,0.06,0.823,1.0,FANG,63.16,2016937.0
2016-01-19,FANG,0.117,0.06,0.823,1.0,FANG,60.48,1662264.0
2016-01-20,FANG,0.117,0.06,0.823,1.0,FANG,60.91,2868940.0
2016-01-21,FANG,0.117,0.06,0.823,1.0,FANG,64.1,1918262.0
2016-01-22,FANG,0.117,0.06,0.823,1.0,FANG,66.17,1869672.0
2016-01-25,FANG,0.117,0.06,0.823,1.0,FANG,62.08,1283331.0
2016-01-26,FANG,0.117,0.06,0.823,1.0,FANG,66.53,1354376.0
2016-01-27,FANG,0.117,0.06,0.823,1.0,FANG,68.27,2477547.0
2016-01-28,FANG,0.117,0.06,0.823,1.0,FANG,72.79,2382305.0
2016-01-29,FANG,0.117,0.06,0.823,1.0,FANG,75.55,2600698.0
2016-02-01,FANG,0.117,0.06,0.823,1.0,FANG,72.6,1880889.0
2016-02-02,FANG,0.117,0.06,0.823,1.0,FANG,71.25,970948.0
2016-02-03,FANG,0.117,0.06,0.823,1.0,FANG,74.88,1343037.0
2016-02-04,FANG,0.117,0.06,0.823,1.0,FANG,72.0,2528971.0
2016-02-05,FANG,0.117,0.06,0.823,1.0,FANG,67.31,2424281.0
2016-02-08,FANG,0.117,0.06,0.823,1.0,FANG,69.95,1904410.0
2016-02-09,FANG,0.117,0.06,0.823,1.0,FANG,67.06,1698017.0
2016-02-10,FANG,0.117,0.06,0.823,1.0,FANG,67.33,1533967.0
2016-02-11,FANG,0.117,0.06,0.823,1.0,FANG,67.9,1795203.0
2016-02-12,FANG,0.117,0.06,0.823,1.0,FANG,69.13,1641252.0
