,periodOfReport,ticker,pos,neg,neu,compound,date,ticker,close,volume
1637,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-01,FB,107.12,22781868.0
1638,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-02,FB,106.07,24429063.0
1639,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-03,FB,104.38,23236423.0
1640,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-04,FB,106.18,21224521.0
1641,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-07,FB,105.61,15474890.0
1642,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-08,FB,106.49,20401791.0
1643,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-09,FB,104.6,23517268.0
1644,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-10,FB,105.42,17454312.0
1645,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-11,FB,102.12,26427727.0
1646,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-14,FB,104.66,24813496.0
1647,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-15,FB,104.55,21764331.0
1648,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-16,FB,106.79,22680547.0
1649,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-17,FB,106.22,21672286.0
1650,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-18,FB,104.04,35994199.0
1651,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-21,FB,104.77,16133186.0
1652,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-22,FB,105.51,14597122.0
1653,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-23,FB,104.63,19599473.0
1654,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-24,FB,105.02,6512134.0
1655,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-28,FB,105.93,13069733.0
1656,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-29,FB,107.26,17179551.0
1657,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-30,FB,106.22,13115007.0
1658,2022-03-31,FB,0.096,0.025,0.879,0.9999,2015-12-31,FB,104.66,18391064.0
1659,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-04,FB,102.22,37912403.0
1660,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-05,FB,102.73,23258238.0
1661,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-06,FB,102.97,25096183.0
1662,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-07,FB,97.92,45172906.0
1663,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-08,FB,97.33,35402298.0
1664,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-11,FB,97.51,29932385.0
1665,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-12,FB,99.37,28395390.0
1666,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-13,FB,95.44,33410553.0
1667,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-14,FB,98.37,48658623.0
1668,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-15,FB,94.97,46132781.0
1669,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-19,FB,95.26,30998256.0
1670,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-20,FB,94.35,59051429.0
1671,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-21,FB,94.16,30518939.0
1672,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-22,FB,97.94,30494987.0
1673,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-25,FB,97.01,32482015.0
1674,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-26,FB,97.34,26877080.0
1675,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-27,FB,94.45,58699359.0
1676,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-28,FB,109.11,107475327.0
1677,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-01-29,FB,112.21,62737848.0
1678,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-02-01,FB,115.09,46132726.0
1679,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-02-02,FB,114.61,56161083.0
1680,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-02-03,FB,112.69,56919324.0
1681,2022-03-31,FB,0.096,0.025,0.879,0.9999,2016-02-04,FB,110.49,38890199.0
