date,ticker,pos,neg,neu,compound,ticker,close,volume
2015-12-01,MCHP,0.085,0.028,0.887,1.0,MCHP,48.49,1684609.0
2015-12-02,MCHP,0.085,0.028,0.887,1.0,MCHP,46.66,3008300.0
2015-12-03,MCHP,0.085,0.028,0.887,1.0,MCHP,46.43,1826048.0
2015-12-04,MCHP,0.085,0.028,0.887,1.0,MCHP,47.37,2850144.0
2015-12-07,MCHP,0.085,0.028,0.887,1.0,MCHP,46.68,1439176.0
2015-12-08,MCHP,0.085,0.028,0.887,1.0,MCHP,46.21,1677921.0
2015-12-09,MCHP,0.085,0.028,0.887,1.0,MCHP,45.51,1768067.0
2015-12-10,MCHP,0.085,0.028,0.887,1.0,MCHP,45.35,1520104.0
2015-12-11,MCHP,0.085,0.028,0.887,1.0,MCHP,44.64,2164059.0
2015-12-14,MCHP,0.085,0.028,0.887,1.0,MCHP,44.61,1683122.0
2015-12-15,MCHP,0.085,0.028,0.887,1.0,MCHP,46.07,3330635.0
2015-12-16,MCHP,0.085,0.028,0.887,1.0,MCHP,47.11,3240435.0
2015-12-17,MCHP,0.085,0.028,0.887,1.0,MCHP,46.44,2358055.0
2015-12-18,MCHP,0.085,0.028,0.887,1.0,MCHP,46.09,6160230.0
2015-12-21,MCHP,0.085,0.028,0.887,1.0,MCHP,46.85,1906641.0
2015-12-22,MCHP,0.085,0.028,0.887,1.0,MCHP,47.17,1145366.0
2015-12-23,MCHP,0.085,0.028,0.887,1.0,MCHP,47.31,914723.0
2015-12-24,MCHP,0.085,0.028,0.887,1.0,MCHP,47.26,371132.0
2015-12-28,MCHP,0.085,0.028,0.887,1.0,MCHP,47.53,1792957.0
2015-12-29,MCHP,0.085,0.028,0.887,1.0,MCHP,48.12,1042785.0
2015-12-30,MCHP,0.085,0.028,0.887,1.0,MCHP,47.74,996893.0
2015-12-31,MCHP,0.085,0.023,0.892,1.0,MCHP,46.54,1158091.0
2016-01-04,MCHP,0.085,0.023,0.892,1.0,MCHP,45.98,2470150.0
2016-01-05,MCHP,0.085,0.023,0.892,1.0,MCHP,45.64,1801511.0
2016-01-06,MCHP,0.085,0.023,0.892,1.0,MCHP,44.93,1827914.0
2016-01-07,MCHP,0.085,0.023,0.892,1.0,MCHP,42.66,3370462.0
2016-01-08,MCHP,0.085,0.023,0.892,1.0,MCHP,41.53,2815296.0
2016-01-11,MCHP,0.085,0.023,0.892,1.0,MCHP,41.5,2618821.0
2016-01-12,MCHP,0.085,0.023,0.892,1.0,MCHP,41.85,2091448.0
2016-01-13,MCHP,0.085,0.023,0.892,1.0,MCHP,41.31,5039118.0
2016-01-14,MCHP,0.085,0.023,0.892,1.0,MCHP,42.04,4195293.0
2016-01-15,MCHP,0.085,0.023,0.892,1.0,MCHP,40.52,4213360.0
2016-01-19,MCHP,0.085,0.023,0.892,1.0,MCHP,41.7,5098494.0
2016-01-20,MCHP,0.085,0.023,0.892,1.0,MCHP,42.85,8805316.0
2016-01-21,MCHP,0.085,0.023,0.892,1.0,MCHP,43.61,4515959.0
2016-01-22,MCHP,0.085,0.023,0.892,1.0,MCHP,43.14,4085276.0
2016-01-25,MCHP,0.085,0.023,0.892,1.0,MCHP,43.2,2710732.0
2016-01-26,MCHP,0.085,0.023,0.892,1.0,MCHP,44.25,3686995.0
2016-01-27,MCHP,0.085,0.023,0.892,1.0,MCHP,43.33,2908483.0
2016-01-28,MCHP,0.085,0.023,0.892,1.0,MCHP,43.16,2366803.0
2016-01-29,MCHP,0.085,0.023,0.892,1.0,MCHP,44.81,4028112.0
2016-02-01,MCHP,0.085,0.023,0.892,1.0,MCHP,44.43,2548764.0
2016-02-02,MCHP,0.085,0.023,0.892,1.0,MCHP,43.18,2367373.0
2016-02-03,MCHP,0.085,0.023,0.892,1.0,MCHP,42.32,5907993.0
2016-02-04,MCHP,0.085,0.023,0.892,1.0,MCHP,42.74,6018905.0
2016-02-05,MCHP,0.085,0.023,0.892,1.0,MCHP,42.22,3388405.0
2016-02-08,MCHP,0.085,0.023,0.892,1.0,MCHP,41.22,3525679.0
2016-02-09,MCHP,0.085,0.023,0.892,1.0,MCHP,41.26,2683282.0
2016-02-10,MCHP,0.085,0.023,0.892,1.0,MCHP,40.27,3097123.0
2016-02-11,MCHP,0.085,0.023,0.892,1.0,MCHP,39.65,2958132.0
2016-02-12,MCHP,0.085,0.023,0.892,1.0,MCHP,40.41,1746965.0
2016-02-16,MCHP,0.085,0.023,0.892,1.0,MCHP,41.63,3858558.0
2016-02-17,MCHP,0.085,0.023,0.892,1.0,MCHP,42.66,2267315.0
2016-02-18,MCHP,0.085,0.023,0.892,1.0,MCHP,41.975,2013054.0
2016-02-19,MCHP,0.085,0.023,0.892,1.0,MCHP,42.37,2032785.0
2016-02-22,MCHP,0.085,0.023,0.892,1.0,MCHP,43.07,2231248.0
2016-02-23,MCHP,0.085,0.023,0.892,1.0,MCHP,42.26,1584154.0
2016-02-24,MCHP,0.085,0.023,0.892,1.0,MCHP,43.68,3910086.0
2016-02-25,MCHP,0.085,0.023,0.892,1.0,MCHP,43.81,1775580.0
2016-02-26,MCHP,0.085,0.023,0.892,1.0,MCHP,44.88,2578618.0
2016-02-29,MCHP,0.085,0.023,0.892,1.0,MCHP,44.49,2891355.0
2016-03-01,MCHP,0.085,0.023,0.892,1.0,MCHP,45.22,2949151.0
2016-03-02,MCHP,0.085,0.023,0.892,1.0,MCHP,45.74,2500947.0
2016-03-03,MCHP,0.085,0.023,0.892,1.0,MCHP,46.12,1657973.0
2016-03-04,MCHP,0.085,0.023,0.892,1.0,MCHP,46.83,2921544.0
2016-03-07,MCHP,0.085,0.023,0.892,1.0,MCHP,47.72,3634055.0
2016-03-08,MCHP,0.085,0.023,0.892,1.0,MCHP,46.67,2317295.0
2016-03-09,MCHP,0.085,0.023,0.892,1.0,MCHP,47.51,2413374.0
2016-03-10,MCHP,0.085,0.023,0.892,1.0,MCHP,47.1,1894952.0
2016-03-11,MCHP,0.085,0.023,0.892,1.0,MCHP,48.61,2198984.0
2016-03-14,MCHP,0.085,0.023,0.892,1.0,MCHP,48.1,1646732.0
2016-03-15,MCHP,0.085,0.023,0.892,1.0,MCHP,48.09,1967756.0
2016-03-16,MCHP,0.085,0.023,0.892,1.0,MCHP,48.03,2252085.0
2016-03-17,MCHP,0.085,0.023,0.892,1.0,MCHP,48.43,2699275.0
2016-03-18,MCHP,0.085,0.023,0.892,1.0,MCHP,49.11,4880372.0
2016-03-21,MCHP,0.085,0.023,0.892,1.0,MCHP,48.75,2160788.0
2016-03-22,MCHP,0.085,0.023,0.892,1.0,MCHP,48.31,1829825.0
2016-03-23,MCHP,0.085,0.023,0.892,1.0,MCHP,47.96,1371594.0
2016-03-24,MCHP,0.085,0.023,0.892,1.0,MCHP,48.12,1183684.0
2016-03-28,MCHP,0.085,0.023,0.892,1.0,MCHP,48.01,1663848.0
2016-03-29,MCHP,0.085,0.023,0.892,1.0,MCHP,48.81,1741095.0
2016-03-30,MCHP,0.085,0.023,0.892,1.0,MCHP,48.84,1723221.0
2016-03-31,MCHP,0.133,0.057,0.81,1.0,MCHP,48.2,2788261.0
2016-04-01,MCHP,0.133,0.057,0.81,1.0,MCHP,48.28,2130109.0
2016-04-04,MCHP,0.133,0.057,0.81,1.0,MCHP,48.38,2298305.0
2016-04-05,MCHP,0.133,0.057,0.81,1.0,MCHP,48.65,3769114.0
2016-04-06,MCHP,0.133,0.057,0.81,1.0,MCHP,48.64,5008439.0
2016-04-07,MCHP,0.133,0.057,0.81,1.0,MCHP,47.88,2344699.0
2016-04-08,MCHP,0.133,0.057,0.81,1.0,MCHP,48.45,1887310.0
2016-04-11,MCHP,0.133,0.057,0.81,1.0,MCHP,48.4,2009480.0
2016-04-12,MCHP,0.133,0.057,0.81,1.0,MCHP,48.3,1467666.0
2016-04-13,MCHP,0.133,0.057,0.81,1.0,MCHP,49.22,1164935.0
2016-04-14,MCHP,0.133,0.057,0.81,1.0,MCHP,49.27,1699563.0
2016-04-15,MCHP,0.133,0.057,0.81,1.0,MCHP,48.76,2612089.0
2016-04-18,MCHP,0.133,0.057,0.81,1.0,MCHP,48.9,2243344.0
2016-04-19,MCHP,0.133,0.057,0.81,1.0,MCHP,48.52,2068134.0
2016-04-20,MCHP,0.133,0.057,0.81,1.0,MCHP,49.59,2265098.0
2016-04-21,MCHP,0.133,0.057,0.81,1.0,MCHP,49.43,1930942.0
2016-04-22,MCHP,0.133,0.057,0.81,1.0,MCHP,49.71,2096325.0
2016-04-25,MCHP,0.133,0.057,0.81,1.0,MCHP,49.57,1561265.0
2016-04-26,MCHP,0.133,0.057,0.81,1.0,MCHP,50.08,2488255.0
2016-04-27,MCHP,0.133,0.057,0.81,1.0,MCHP,50.34,2331735.0
2016-04-28,MCHP,0.133,0.057,0.81,1.0,MCHP,49.51,3001522.0
2016-04-29,MCHP,0.133,0.057,0.81,1.0,MCHP,48.59,2316565.0
2016-05-02,MCHP,0.133,0.057,0.81,1.0,MCHP,49.35,1713699.0
2016-05-03,MCHP,0.133,0.057,0.81,1.0,MCHP,48.8,2119248.0
2016-05-04,MCHP,0.133,0.057,0.81,1.0,MCHP,48.42,1965152.0
2016-05-05,MCHP,0.133,0.057,0.81,1.0,MCHP,47.82,2799327.0
2016-05-06,MCHP,0.133,0.057,0.81,1.0,MCHP,47.95,2492316.0
2016-05-09,MCHP,0.133,0.057,0.81,1.0,MCHP,47.57,1479037.0
2016-05-10,MCHP,0.133,0.057,0.81,1.0,MCHP,48.34,1546212.0
