,periodOfReport,ticker,pos,neg,neu,compound,date,ticker,close,volume
19150,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-01,MELI,125.56,391854.0
19151,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-02,MELI,124.52,311144.0
19152,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-03,MELI,120.65,504203.0
19153,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-04,MELI,121.78,362951.0
19154,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-07,MELI,119.8,332611.0
19155,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-08,MELI,119.52,305954.0
19156,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-09,MELI,116.75,363557.0
19157,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-10,MELI,118.22,410113.0
19158,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-11,MELI,114.11,623221.0
19159,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-14,MELI,115.73,417088.0
19160,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-15,MELI,118.44,407235.0
19161,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-16,MELI,116.6,433420.0
19162,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-17,MELI,114.26,569853.0
19163,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-18,MELI,111.56,448383.0
19164,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-21,MELI,112.73,319292.0
19165,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-22,MELI,111.77,319689.0
19166,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-23,MELI,113.77,248014.0
19167,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-24,MELI,114.09,111696.0
19168,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-28,MELI,113.99,341332.0
19169,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-29,MELI,115.12,202586.0
19170,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-30,MELI,114.36,253214.0
19171,2022-03-31,MELI,0.0,0.0,1.0,0.0,2015-12-31,MELI,114.34,184714.0
19172,2022-03-31,MELI,0.0,0.0,1.0,0.0,2016-01-04,MELI,109.95,535284.0
19173,2022-03-31,MELI,0.0,0.0,1.0,0.0,2016-01-05,MELI,109.68,432668.0
19174,2022-03-31,MELI,0.0,0.0,1.0,0.0,2016-01-06,MELI,107.33,579179.0
19175,2022-03-31,MELI,0.0,0.0,1.0,0.0,2016-01-07,MELI,102.93,475036.0
19176,2022-03-31,MELI,0.0,0.0,1.0,0.0,2016-01-08,MELI,101.09,443968.0
19177,2022-03-31,MELI,0.0,0.0,1.0,0.0,2016-01-11,MELI,98.76,735125.0
19178,2022-03-31,MELI,0.0,0.0,1.0,0.0,2016-01-12,MELI,104.85,1019218.0
19179,2022-03-31,MELI,0.0,0.0,1.0,0.0,2016-01-13,MELI,100.55,892758.0
19180,2022-03-31,MELI,0.0,0.0,1.0,0.0,2016-01-14,MELI,104.88,464068.0
