date,ticker,pos,neg,neu,compound,ticker,close,volume
2015-12-01,PYPL,0.0,0.0,1.0,0.0,PYPL,35.17,14893927.0
2015-12-02,PYPL,0.0,0.0,1.0,0.0,PYPL,35.15,5762384.0
2015-12-03,PYPL,0.0,0.0,1.0,0.0,PYPL,34.23,7311905.0
2015-12-04,PYPL,0.0,0.0,1.0,0.0,PYPL,35.62,10664349.0
2015-12-07,PYPL,0.0,0.0,1.0,0.0,PYPL,35.16,4917953.0
2015-12-08,PYPL,0.0,0.0,1.0,0.0,PYPL,35.6,7420819.0
2015-12-09,PYPL,0.0,0.0,1.0,0.0,PYPL,35.07,7381669.0
2015-12-10,PYPL,0.0,0.0,1.0,0.0,PYPL,35.49,6949734.0
2015-12-11,PYPL,0.0,0.0,1.0,0.0,PYPL,34.69,8309205.0
2015-12-14,PYPL,0.0,0.0,1.0,0.0,PYPL,35.01,5803074.0
2015-12-15,PYPL,0.0,0.0,1.0,0.0,PYPL,36.32,11709851.0
2015-12-16,PYPL,0.0,0.0,1.0,0.0,PYPL,35.98,7076271.0
2015-12-17,PYPL,0.0,0.0,1.0,0.0,PYPL,35.54,6454069.0
2015-12-18,PYPL,0.0,0.0,1.0,0.0,PYPL,34.98,13745948.0
2015-12-21,PYPL,0.0,0.0,1.0,0.0,PYPL,36.08,5856044.0
2015-12-22,PYPL,0.0,0.0,1.0,0.0,PYPL,36.805,6030899.0
2015-12-23,PYPL,0.0,0.0,1.0,0.0,PYPL,37.11,7579531.0
2015-12-24,PYPL,0.0,0.0,1.0,0.0,PYPL,37.07,2133437.0
2015-12-28,PYPL,0.0,0.0,1.0,0.0,PYPL,36.61,4930147.0
2015-12-29,PYPL,0.0,0.0,1.0,0.0,PYPL,37.08,3436624.0
2015-12-30,PYPL,0.0,0.0,1.0,0.0,PYPL,36.48,4106613.0
2015-12-31,PYPL,0.0,0.0,1.0,0.0,PYPL,36.2,4481936.0
2016-01-04,PYPL,0.0,0.0,1.0,0.0,PYPL,34.75,12287716.0
2016-01-05,PYPL,0.0,0.0,1.0,0.0,PYPL,34.31,11227717.0
2016-01-06,PYPL,0.0,0.0,1.0,0.0,PYPL,33.98,8441271.0
2016-01-07,PYPL,0.0,0.0,1.0,0.0,PYPL,33.13,11041083.0
2016-01-08,PYPL,0.0,0.0,1.0,0.0,PYPL,32.69,7848846.0
2016-01-11,PYPL,0.0,0.0,1.0,0.0,PYPL,33.04,8937358.0
