,periodOfReport,ticker,pos,neg,neu,compound,date,ticker,close,volume
20787,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-01,SOFI,22.65,9157012.0
20788,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-02,SOFI,23.21,14678666.0
20789,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-03,SOFI,22.68,5878738.0
20790,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-04,SOFI,20.82,13433392.0
20791,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-07,SOFI,21.21,4754559.0
20792,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-08,SOFI,23.89,11306644.0
20793,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-09,SOFI,22.71,9406873.0
20794,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-10,SOFI,23.02,6526566.0
20795,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-11,SOFI,22.4,2769374.0
20796,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-14,SOFI,21.82,4099629.0
20797,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-15,SOFI,20.8,3530421.0
20798,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-16,SOFI,21.83,9595000.0
20799,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-17,SOFI,22.7,7358983.0
20800,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-18,SOFI,23.04,5987287.0
20801,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-21,SOFI,22.51,3590288.0
20802,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-22,SOFI,21.2,6586193.0
20803,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-23,SOFI,21.4,5328526.0
20804,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-24,SOFI,20.87,6475128.0
20805,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-25,SOFI,18.5,36676708.0
20806,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-28,SOFI,19.26,56820913.0
20807,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-29,SOFI,18.87,57159828.0
20808,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-06-30,SOFI,19.17,27472420.0
20809,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-01,SOFI,18.25,19917553.0
20810,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-02,SOFI,18.08,25568704.0
20811,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-06,SOFI,17.35,20245759.0
20812,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-07,SOFI,16.94,17527873.0
20813,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-08,SOFI,16.62,18442315.0
20814,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-09,SOFI,16.45,17661940.0
20815,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-12,SOFI,16.42,14070867.0
20816,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-13,SOFI,16.0,16636297.0
20817,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-14,SOFI,15.52,19066656.0
20818,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-15,SOFI,15.99,16186148.0
20819,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-16,SOFI,15.3,14213326.0
20820,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-19,SOFI,15.17,14777310.0
20821,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-20,SOFI,15.06,11680329.0
20822,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-21,SOFI,16.56,27892529.0
20823,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-22,SOFI,16.05,18825925.0
20824,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-23,SOFI,15.7,10369980.0
20825,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-26,SOFI,15.51,8993954.0
20826,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-27,SOFI,14.92,16734629.0
20827,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-28,SOFI,15.37,10127692.0
20828,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-29,SOFI,15.6,12748150.0
20829,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-07-30,SOFI,15.44,6653691.0
20830,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-08-02,SOFI,15.73,15094120.0
20831,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-08-03,SOFI,15.11,16166592.0
20832,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-08-04,SOFI,16.39,25717364.0
20833,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-08-05,SOFI,16.06,14501506.0
20834,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-08-06,SOFI,16.71,13993713.0
20835,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-08-09,SOFI,16.91,15571048.0
20836,2022-03-31,SOFI,0.122,0.065,0.812,1.0,2021-08-10,SOFI,16.99,12829671.0
