date,ticker,pos,neg,neu,compound,ticker,close,volume
2015-12-01,SPWR,0.153,0.032,0.814,1.0,SPWR,25.11,1169411.0
2015-12-02,SPWR,0.153,0.032,0.814,1.0,SPWR,26.17,2443437.0
2015-12-03,SPWR,0.153,0.032,0.814,1.0,SPWR,27.13,2577788.0
2015-12-04,SPWR,0.153,0.032,0.814,1.0,SPWR,26.68,1702089.0
2015-12-07,SPWR,0.153,0.032,0.814,1.0,SPWR,26.38,1389013.0
2015-12-08,SPWR,0.153,0.032,0.814,1.0,SPWR,25.1,1612816.0
2015-12-09,SPWR,0.153,0.032,0.814,1.0,SPWR,23.04,5346385.0
2015-12-10,SPWR,0.153,0.032,0.814,1.0,SPWR,22.39,5448086.0
2015-12-11,SPWR,0.153,0.032,0.814,1.0,SPWR,21.53,1803196.0
2015-12-14,SPWR,0.153,0.032,0.814,1.0,SPWR,23.29,4332291.0
2015-12-15,SPWR,0.153,0.032,0.814,1.0,SPWR,24.42,3078029.0
2015-12-16,SPWR,0.153,0.032,0.814,1.0,SPWR,27.91,7842833.0
2015-12-17,SPWR,0.153,0.032,0.814,1.0,SPWR,27.66,3409781.0
2015-12-18,SPWR,0.153,0.032,0.814,1.0,SPWR,28.63,3594861.0
2015-12-21,SPWR,0.153,0.032,0.814,1.0,SPWR,30.04,3207542.0
2015-12-22,SPWR,0.153,0.032,0.814,1.0,SPWR,29.89,2115655.0
2015-12-23,SPWR,0.153,0.032,0.814,1.0,SPWR,30.47,1572144.0
2015-12-24,SPWR,0.153,0.032,0.814,1.0,SPWR,30.77,861538.0
2015-12-28,SPWR,0.153,0.032,0.814,1.0,SPWR,30.32,877231.0
2015-12-29,SPWR,0.153,0.032,0.814,1.0,SPWR,30.53,1313181.0
2015-12-30,SPWR,0.153,0.032,0.814,1.0,SPWR,30.38,919533.0
2015-12-31,SPWR,0.153,0.032,0.814,1.0,SPWR,30.01,1052051.0
2016-01-03,SPWR,0.116,0.046,0.838,1.0,SPWR,30.01,1052051.0
2016-01-04,SPWR,0.116,0.046,0.838,1.0,SPWR,30.36,2100659.0
2016-01-05,SPWR,0.116,0.046,0.838,1.0,SPWR,30.46,2128969.0
2016-01-06,SPWR,0.116,0.046,0.838,1.0,SPWR,28.73,2118138.0
2016-01-07,SPWR,0.116,0.046,0.838,1.0,SPWR,26.19,3253599.0
2016-01-08,SPWR,0.116,0.046,0.838,1.0,SPWR,25.99,1845431.0
2016-01-11,SPWR,0.116,0.046,0.838,1.0,SPWR,25.23,1810872.0
2016-01-12,SPWR,0.116,0.046,0.838,1.0,SPWR,24.31,2214275.0
2016-01-13,SPWR,0.116,0.046,0.838,1.0,SPWR,23.41,2256775.0
2016-01-14,SPWR,0.116,0.046,0.838,1.0,SPWR,23.31,2093195.0
2016-01-15,SPWR,0.116,0.046,0.838,1.0,SPWR,22.71,1957038.0
2016-01-19,SPWR,0.116,0.046,0.838,1.0,SPWR,21.84,2207168.0
2016-01-20,SPWR,0.116,0.046,0.838,1.0,SPWR,21.95,3049403.0
2016-01-21,SPWR,0.116,0.046,0.838,1.0,SPWR,22.89,2370855.0
2016-01-22,SPWR,0.116,0.046,0.838,1.0,SPWR,24.56,2695798.0
2016-01-25,SPWR,0.116,0.046,0.838,1.0,SPWR,23.8,1398370.0
2016-01-26,SPWR,0.116,0.046,0.838,1.0,SPWR,24.17,1577243.0
2016-01-27,SPWR,0.116,0.046,0.838,1.0,SPWR,23.95,1672696.0
2016-01-28,SPWR,0.116,0.046,0.838,1.0,SPWR,23.77,1240216.0
2016-01-29,SPWR,0.116,0.046,0.838,1.0,SPWR,25.44,1937766.0
2016-02-01,SPWR,0.116,0.046,0.838,1.0,SPWR,25.47,1290499.0
2016-02-02,SPWR,0.116,0.046,0.838,1.0,SPWR,24.46,909279.0
2016-02-03,SPWR,0.116,0.046,0.838,1.0,SPWR,24.88,1236894.0
2016-02-04,SPWR,0.116,0.046,0.838,1.0,SPWR,25.65,1497551.0
2016-02-05,SPWR,0.116,0.046,0.838,1.0,SPWR,24.62,1024835.0
2016-02-08,SPWR,0.116,0.046,0.838,1.0,SPWR,23.4,1690781.0
2016-02-09,SPWR,0.116,0.046,0.838,1.0,SPWR,22.96,1902266.0
2016-02-10,SPWR,0.116,0.046,0.838,1.0,SPWR,21.89,2215331.0
2016-02-11,SPWR,0.116,0.046,0.838,1.0,SPWR,20.38,2705458.0
2016-02-12,SPWR,0.116,0.046,0.838,1.0,SPWR,21.24,1792111.0
2016-02-16,SPWR,0.116,0.046,0.838,1.0,SPWR,23.55,2458126.0
2016-02-17,SPWR,0.116,0.046,0.838,1.0,SPWR,24.06,2220476.0
2016-02-18,SPWR,0.116,0.046,0.838,1.0,SPWR,22.84,3918499.0
2016-02-19,SPWR,0.116,0.046,0.838,1.0,SPWR,21.14,4109129.0
2016-02-22,SPWR,0.116,0.046,0.838,1.0,SPWR,21.88,1663076.0
2016-02-23,SPWR,0.116,0.046,0.838,1.0,SPWR,20.55,2696074.0
2016-02-24,SPWR,0.116,0.046,0.838,1.0,SPWR,22.71,2883482.0
2016-02-25,SPWR,0.116,0.046,0.838,1.0,SPWR,22.66,1521464.0
2016-02-26,SPWR,0.116,0.046,0.838,1.0,SPWR,22.61,1888480.0
2016-02-29,SPWR,0.116,0.046,0.838,1.0,SPWR,23.62,1839138.0
2016-03-01,SPWR,0.116,0.046,0.838,1.0,SPWR,23.68,1334886.0
2016-03-02,SPWR,0.116,0.046,0.838,1.0,SPWR,24.09,1274946.0
2016-03-03,SPWR,0.116,0.046,0.838,1.0,SPWR,23.97,1433559.0
2016-03-04,SPWR,0.116,0.046,0.838,1.0,SPWR,24.72,1946336.0
2016-03-07,SPWR,0.116,0.046,0.838,1.0,SPWR,24.22,1684751.0
2016-03-08,SPWR,0.116,0.046,0.838,1.0,SPWR,22.53,3184579.0
2016-03-09,SPWR,0.116,0.046,0.838,1.0,SPWR,22.98,907143.0
2016-03-10,SPWR,0.116,0.046,0.838,1.0,SPWR,22.82,1132175.0
2016-03-11,SPWR,0.116,0.046,0.838,1.0,SPWR,23.42,1437571.0
2016-03-14,SPWR,0.116,0.046,0.838,1.0,SPWR,23.7,904544.0
2016-03-15,SPWR,0.116,0.046,0.838,1.0,SPWR,23.36,1059560.0
2016-03-16,SPWR,0.116,0.046,0.838,1.0,SPWR,24.41,2351980.0
2016-03-17,SPWR,0.116,0.046,0.838,1.0,SPWR,24.74,1775823.0
2016-03-18,SPWR,0.116,0.046,0.838,1.0,SPWR,23.86,1738362.0
2016-03-21,SPWR,0.116,0.046,0.838,1.0,SPWR,23.99,1219686.0
2016-03-22,SPWR,0.116,0.046,0.838,1.0,SPWR,23.66,1329018.0
2016-03-23,SPWR,0.116,0.046,0.838,1.0,SPWR,21.87,2590064.0
2016-03-24,SPWR,0.116,0.046,0.838,1.0,SPWR,21.95,1883896.0
2016-03-28,SPWR,0.116,0.046,0.838,1.0,SPWR,21.94,1984541.0
2016-03-29,SPWR,0.116,0.046,0.838,1.0,SPWR,22.53,1443022.0
2016-03-30,SPWR,0.116,0.046,0.838,1.0,SPWR,22.5,1313373.0
2016-03-31,SPWR,0.116,0.046,0.838,1.0,SPWR,22.34,1072654.0
2016-04-01,SPWR,0.116,0.046,0.838,1.0,SPWR,22.49,1734204.0
2016-04-03,SPWR,0.145,0.032,0.823,1.0,SPWR,22.49,1734204.0
2016-04-04,SPWR,0.145,0.032,0.823,1.0,SPWR,21.17,2174612.0
2016-04-05,SPWR,0.145,0.032,0.823,1.0,SPWR,21.35,3802203.0
2016-04-06,SPWR,0.145,0.032,0.823,1.0,SPWR,21.51,2034785.0
2016-04-07,SPWR,0.145,0.032,0.823,1.0,SPWR,21.39,1484074.0
2016-04-08,SPWR,0.145,0.032,0.823,1.0,SPWR,21.36,1494293.0
2016-04-11,SPWR,0.145,0.032,0.823,1.0,SPWR,21.06,1005015.0
2016-04-12,SPWR,0.145,0.032,0.823,1.0,SPWR,21.05,1413572.0
2016-04-13,SPWR,0.145,0.032,0.823,1.0,SPWR,21.66,1726152.0
2016-04-14,SPWR,0.145,0.032,0.823,1.0,SPWR,21.46,1117987.0
2016-04-15,SPWR,0.145,0.032,0.823,1.0,SPWR,20.96,1737539.0
2016-04-18,SPWR,0.145,0.032,0.823,1.0,SPWR,21.35,1594565.0
2016-04-19,SPWR,0.145,0.032,0.823,1.0,SPWR,21.23,1215801.0
2016-04-20,SPWR,0.145,0.032,0.823,1.0,SPWR,21.66,1505567.0
2016-04-21,SPWR,0.145,0.032,0.823,1.0,SPWR,21.46,1386679.0
2016-04-22,SPWR,0.145,0.032,0.823,1.0,SPWR,21.66,1248739.0
2016-04-25,SPWR,0.145,0.032,0.823,1.0,SPWR,21.43,1473546.0
2016-04-26,SPWR,0.145,0.032,0.823,1.0,SPWR,21.93,1307617.0
2016-04-27,SPWR,0.145,0.032,0.823,1.0,SPWR,22.09,1314353.0
2016-04-28,SPWR,0.145,0.032,0.823,1.0,SPWR,21.05,1523756.0
2016-04-29,SPWR,0.145,0.032,0.823,1.0,SPWR,20.14,2706230.0
2016-05-02,SPWR,0.145,0.032,0.823,1.0,SPWR,19.41,2147537.0
2016-05-03,SPWR,0.145,0.032,0.823,1.0,SPWR,18.33,2976561.0
2016-05-04,SPWR,0.145,0.032,0.823,1.0,SPWR,17.9,2286638.0
2016-05-05,SPWR,0.145,0.032,0.823,1.0,SPWR,17.23,2810451.0
2016-05-06,SPWR,0.145,0.032,0.823,1.0,SPWR,17.39,4196903.0
2016-05-09,SPWR,0.145,0.032,0.823,1.0,SPWR,16.85,2611536.0
2016-05-10,SPWR,0.145,0.032,0.823,1.0,SPWR,16.6,2835598.0
2016-05-11,SPWR,0.145,0.032,0.823,1.0,SPWR,17.35,2931739.0
2016-05-12,SPWR,0.145,0.032,0.823,1.0,SPWR,16.44,3024099.0
2016-05-13,SPWR,0.145,0.032,0.823,1.0,SPWR,16.61,2599260.0
2016-05-16,SPWR,0.145,0.032,0.823,1.0,SPWR,16.72,2003430.0
2016-05-17,SPWR,0.145,0.032,0.823,1.0,SPWR,16.37,1596875.0
2016-05-18,SPWR,0.145,0.032,0.823,1.0,SPWR,16.27,2050631.0
2016-05-19,SPWR,0.145,0.032,0.823,1.0,SPWR,15.32,4049810.0
2016-05-20,SPWR,0.145,0.032,0.823,1.0,SPWR,15.91,2270164.0
2016-05-23,SPWR,0.145,0.032,0.823,1.0,SPWR,16.58,2298079.0
2016-05-24,SPWR,0.145,0.032,0.823,1.0,SPWR,17.04,1976115.0
2016-05-25,SPWR,0.145,0.032,0.823,1.0,SPWR,17.57,2243676.0
2016-05-26,SPWR,0.145,0.032,0.823,1.0,SPWR,17.1,1829311.0
2016-05-27,SPWR,0.145,0.032,0.823,1.0,SPWR,17.26,1023564.0
2016-05-31,SPWR,0.145,0.032,0.823,1.0,SPWR,17.53,1759098.0
2016-06-01,SPWR,0.145,0.032,0.823,1.0,SPWR,17.64,1413052.0
2016-06-02,SPWR,0.145,0.032,0.823,1.0,SPWR,17.4,1195749.0
2016-06-03,SPWR,0.145,0.032,0.823,1.0,SPWR,16.45,2771561.0
2016-06-06,SPWR,0.145,0.032,0.823,1.0,SPWR,17.44,2379201.0
2016-06-07,SPWR,0.145,0.032,0.823,1.0,SPWR,17.25,1646953.0
2016-06-08,SPWR,0.145,0.032,0.823,1.0,SPWR,17.38,1366471.0
2016-06-09,SPWR,0.145,0.032,0.823,1.0,SPWR,16.85,1161340.0
2016-06-10,SPWR,0.145,0.032,0.823,1.0,SPWR,15.6,2489769.0
2016-06-13,SPWR,0.145,0.032,0.823,1.0,SPWR,15.23,2383756.0
2016-06-14,SPWR,0.145,0.032,0.823,1.0,SPWR,15.13,3136830.0
2016-06-15,SPWR,0.145,0.032,0.823,1.0,SPWR,14.93,2535942.0
2016-06-16,SPWR,0.145,0.032,0.823,1.0,SPWR,14.67,2563615.0
2016-06-17,SPWR,0.145,0.032,0.823,1.0,SPWR,14.8,2223702.0
2016-06-20,SPWR,0.145,0.032,0.823,1.0,SPWR,15.07,1969580.0
2016-06-21,SPWR,0.145,0.032,0.823,1.0,SPWR,14.91,1465020.0
2016-06-22,SPWR,0.145,0.032,0.823,1.0,SPWR,15.01,1567820.0
2016-06-23,SPWR,0.145,0.032,0.823,1.0,SPWR,15.47,1604788.0
2016-06-24,SPWR,0.145,0.032,0.823,1.0,SPWR,14.16,3012986.0
2016-06-27,SPWR,0.145,0.032,0.823,1.0,SPWR,13.49,2620870.0
2016-06-28,SPWR,0.145,0.032,0.823,1.0,SPWR,14.73,2590843.0
2016-06-29,SPWR,0.145,0.032,0.823,1.0,SPWR,15.21,2422068.0
2016-06-30,SPWR,0.145,0.032,0.823,1.0,SPWR,15.49,2436918.0
2016-07-01,SPWR,0.145,0.032,0.823,1.0,SPWR,15.46,1387970.0
2016-07-03,SPWR,0.145,0.032,0.823,1.0,SPWR,15.46,1387970.0
2016-07-05,SPWR,0.145,0.032,0.823,1.0,SPWR,14.47,2164047.0
2016-07-06,SPWR,0.145,0.032,0.823,1.0,SPWR,14.99,3277703.0
2016-07-07,SPWR,0.145,0.032,0.823,1.0,SPWR,14.44,2057490.0
2016-07-08,SPWR,0.145,0.032,0.823,1.0,SPWR,14.92,1830034.0
