,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2021-06-01,1.0,0.122,0.821,0.058,0.4753,0.256,0.744,0.0,9157012.0,22.65
2021-06-02,1.0,0.122,0.821,0.058,-0.021466666666666665,0.016333333333333335,0.9663333333333334,0.017666666666666667,14678666.0,23.21
2021-06-03,1.0,0.122,0.821,0.058,-0.021466666666666665,0.016333333333333335,0.9663333333333334,0.017666666666666667,5878738.0,22.68
2021-06-04,1.0,0.122,0.821,0.058,-0.021466666666666665,0.016333333333333335,0.9663333333333334,0.017666666666666667,13433392.0,20.82
2021-06-05,1.0,0.122,0.821,0.058,-0.021466666666666665,0.016333333333333335,0.9663333333333334,0.017666666666666667,13433392.0,20.82
2021-06-06,1.0,0.122,0.821,0.058,-0.021466666666666665,0.016333333333333335,0.9663333333333334,0.017666666666666667,13433392.0,20.82
2021-06-07,1.0,0.122,0.821,0.058,-0.021466666666666665,0.016333333333333335,0.9663333333333334,0.017666666666666667,4754559.0,21.21
2021-06-08,1.0,0.122,0.821,0.058,-0.021466666666666665,0.016333333333333335,0.9663333333333334,0.017666666666666667,11306644.0,23.89
2021-06-09,1.0,0.122,0.821,0.058,-0.021466666666666665,0.016333333333333335,0.9663333333333334,0.017666666666666667,9406873.0,22.71
2021-06-10,1.0,0.122,0.821,0.058,0.2458,0.119,0.786,0.095,6526566.0,23.02
2021-06-11,1.0,0.122,0.821,0.058,0.2458,0.119,0.786,0.095,2769374.0,22.4
2021-06-12,1.0,0.122,0.821,0.058,0.2458,0.119,0.786,0.095,2769374.0,22.4
2021-06-13,1.0,0.122,0.821,0.058,0.3755,0.16,0.698,0.142,2769374.0,22.4
2021-06-14,1.0,0.122,0.821,0.058,0.3755,0.16,0.698,0.142,4099629.0,21.82
2021-06-15,1.0,0.122,0.821,0.058,0.3755,0.16,0.698,0.142,3530421.0,20.8
2021-06-16,1.0,0.122,0.821,0.058,0.8894,0.2585,0.7275,0.014,9595000.0,21.83
2021-06-17,1.0,0.122,0.821,0.058,0.8894,0.2585,0.7275,0.014,7358983.0,22.7
2021-06-18,1.0,0.122,0.821,0.058,0.0387,0.03,0.941,0.029,5987287.0,23.04
2021-06-19,1.0,0.122,0.821,0.058,0.0,0.0,1.0,0.0,5987287.0,23.04
2021-06-20,1.0,0.122,0.821,0.058,0.0,0.0,1.0,0.0,5987287.0,23.04
