,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2019-05-10,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,7810890.0,8.2
2019-05-11,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,7810890.0,8.2
2019-05-12,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,7810890.0,8.2
2019-05-13,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,2739677.0,7.97
2019-05-14,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1554925.0,7.97
2019-05-15,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1849968.0,8.12
2019-05-16,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1995180.0,8.38
2019-05-17,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1840867.0,8.0
2019-05-18,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1840867.0,8.0
2019-05-19,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1840867.0,8.0
2019-05-20,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1151349.0,7.91
2019-05-21,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1856472.0,8.2
2019-05-22,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,960391.0,8.14
2019-05-23,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1689156.0,7.73
2019-05-24,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1116143.0,7.78
2019-05-25,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1116143.0,7.78
2019-05-26,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1116143.0,7.78
2019-05-27,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1116143.0,7.78
2019-05-28,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,832116.0,7.85
2019-05-29,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,923678.0,7.72
2019-05-30,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1134866.0,7.86
2019-05-31,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,2683310.0,7.46
2019-06-01,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,2683310.0,7.46
2019-06-02,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,2683310.0,7.46
2019-06-03,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1964198.0,7.59
2019-06-04,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,3266102.0,8.16
2019-06-05,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1783570.0,8.15
2019-06-06,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1866233.0,8.35
2019-06-07,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1592990.0,8.34
2019-06-08,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1592990.0,8.34
2019-06-09,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1592990.0,8.34
2019-06-10,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1829850.0,8.4
2019-06-11,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1086454.0,8.46
2019-06-12,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,2470392.0,7.96
2019-06-13,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,2792137.0,8.46
2019-06-14,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1092840.0,8.24
2019-06-15,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1092840.0,8.24
2019-06-16,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1092840.0,8.24
2019-06-17,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,785634.0,8.28
2019-06-18,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,16769650.0,10.15
2019-06-19,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,5443256.0,10.46
2019-06-20,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,2569959.0,10.47
2019-06-21,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,2448108.0,10.34
2019-06-22,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,2448108.0,10.34
2019-06-23,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,2448108.0,10.34
2019-06-24,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1666499.0,10.33
2019-06-25,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1729489.0,10.0
2019-06-26,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,1357927.0,10.16
2019-06-27,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,2348811.0,10.54
2019-06-28,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,2943916.0,10.69
2019-06-29,1.0,0.111,0.846,0.042,0.0772,0.098,0.808,0.094,2943916.0,10.69
2019-06-30,1.0,0.115,0.86,0.026,0.0772,0.098,0.808,0.094,2943916.0,10.69
2019-07-01,1.0,0.115,0.86,0.026,0.0772,0.098,0.808,0.094,3277144.0,11.23
2019-07-02,1.0,0.115,0.86,0.026,0.0772,0.098,0.808,0.094,2113672.0,11.29
2019-07-03,1.0,0.115,0.86,0.026,0.0772,0.098,0.808,0.094,2141838.0,11.47
2019-07-04,1.0,0.115,0.86,0.026,0.0772,0.098,0.808,0.094,2141838.0,11.47
2019-07-05,1.0,0.115,0.86,0.026,0.0772,0.098,0.808,0.094,2398404.0,11.99
2019-07-06,1.0,0.115,0.86,0.026,0.0772,0.098,0.808,0.094,2398404.0,11.99
2019-07-07,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,2398404.0,11.99
2019-07-08,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,3209544.0,12.39
2019-07-09,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,3333529.0,12.47
2019-07-10,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,2195944.0,12.13
2019-07-11,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,2083758.0,11.69
2019-07-12,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,2197286.0,11.66
2019-07-13,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,2197286.0,11.66
2019-07-14,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,2197286.0,11.66
2019-07-15,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1817025.0,11.5
2019-07-16,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1334214.0,11.4
2019-07-17,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1849851.0,11.04
2019-07-18,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1856103.0,10.91
2019-07-19,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1749281.0,10.99
2019-07-20,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1749281.0,10.99
2019-07-21,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1749281.0,10.99
2019-07-22,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,2337104.0,10.7
2019-07-23,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1957799.0,10.59
2019-07-24,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1802740.0,10.29
2019-07-25,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1274461.0,10.21
2019-07-26,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1041920.0,10.26
2019-07-27,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1041920.0,10.26
2019-07-28,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1041920.0,10.26
2019-07-29,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,2006924.0,10.76
2019-07-30,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,1769535.0,10.8
2019-07-31,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,8247555.0,11.69
2019-08-01,1.0,0.115,0.86,0.026,0.0,0.0,1.0,0.0,23671231.0,14.52
