,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2019-05-10,1.0,0.111,0.846,0.042,0.06022954545454546,0.08588636363636364,0.8410454545454545,0.07304545454545454,189836990.0,41.57
2019-05-11,1.0,0.111,0.846,0.042,-0.11440833333333333,0.024583333333333336,0.8853333333333334,0.09000000000000001,189836990.0,41.57
2019-05-12,1.0,0.111,0.846,0.042,0.06973636363636362,0.098,0.8448181818181818,0.05709090909090909,189836990.0,41.57
2019-05-13,1.0,0.111,0.846,0.042,0.006766666666666661,0.06966666666666667,0.8770000000000001,0.05333333333333334,79478203.0,37.1
2019-05-14,1.0,0.111,0.846,0.042,0.006766666666666661,0.06966666666666667,0.8770000000000001,0.05333333333333334,46661187.0,39.96
2019-05-15,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,36086872.0,41.29
2019-05-16,1.0,0.111,0.846,0.042,-0.48575,0.037,0.8815,0.0815,38115524.0,43.0
2019-05-17,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,20225687.0,41.91
2019-05-18,1.0,0.111,0.846,0.042,0.1032,0.1522,0.7782,0.06999999999999999,20225687.0,41.91
2019-05-19,1.0,0.111,0.846,0.042,0.1032,0.1522,0.7782,0.06999999999999999,20225687.0,41.91
2019-05-20,1.0,0.111,0.846,0.042,-0.5719,0.0,0.802,0.198,29222624.0,41.59
2019-05-21,1.0,0.111,0.846,0.042,-0.5719,0.0,0.802,0.198,10802863.0,41.5
2019-05-22,1.0,0.111,0.846,0.042,-0.5719,0.0,0.802,0.198,9089469.0,41.25
2019-05-23,1.0,0.111,0.846,0.042,0.1531,0.168,0.69,0.142,11120123.0,40.47
2019-05-24,1.0,0.111,0.846,0.042,0.1531,0.168,0.69,0.142,8786891.0,41.51
2019-05-25,1.0,0.111,0.846,0.042,0.1531,0.168,0.69,0.142,8786891.0,41.51
2019-05-26,1.0,0.111,0.846,0.042,-0.18865000000000004,0.0795,0.823,0.097,8786891.0,41.51
2019-05-27,1.0,0.111,0.846,0.042,-0.0616,0.0,0.9855,0.0145,8786891.0,41.51
2019-05-28,1.0,0.111,0.846,0.042,-0.0616,0.0,0.9855,0.0145,13391605.0,40.95
2019-05-29,1.0,0.111,0.846,0.042,-0.0616,0.0,0.9855,0.0145,14060547.0,39.94
2019-05-30,1.0,0.111,0.846,0.042,0.5765,0.223,0.777,0.0,26451864.0,39.8
2019-05-31,1.0,0.111,0.846,0.042,0.6124,0.117,0.825,0.058,23209848.0,40.41
2019-06-01,1.0,0.111,0.846,0.042,0.6124,0.117,0.825,0.058,23209848.0,40.41
2019-06-02,1.0,0.111,0.846,0.042,0.6124,0.117,0.825,0.058,23209848.0,40.41
2019-06-03,1.0,0.111,0.846,0.042,0.6124,0.117,0.825,0.058,16605261.0,41.25
2019-06-04,1.0,0.111,0.846,0.042,0.6124,0.117,0.825,0.058,23432141.0,42.75
2019-06-05,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,28617446.0,45.0
2019-06-06,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,16403691.0,44.92
2019-06-07,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,12654670.0,44.16
2019-06-08,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,12654670.0,44.16
2019-06-09,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,12654670.0,44.16
2019-06-10,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,11618701.0,42.61
2019-06-11,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,9095044.0,42.45
2019-06-12,1.0,0.111,0.846,0.042,0.1621,0.247,0.569,0.184,5965250.0,42.17
2019-06-13,1.0,0.111,0.846,0.042,0.9931,0.119,0.819,0.062,10201535.0,44.31
2019-06-14,1.0,0.111,0.846,0.042,-0.027719999999999988,0.046799999999999994,0.8892,0.06420000000000001,7902223.0,43.23
2019-06-15,1.0,0.111,0.846,0.042,0.9581,0.149,0.815,0.036,7902223.0,43.23
2019-06-16,1.0,0.111,0.846,0.042,0.5151,0.09866666666666667,0.866,0.035333333333333335,7902223.0,43.23
2019-06-17,1.0,0.111,0.846,0.042,0.05704,0.0738,0.8452,0.081,6557589.0,43.78
2019-06-18,1.0,0.111,0.846,0.042,0.514325,0.06375,0.915,0.021249999999999998,7313980.0,43.86
2019-06-19,1.0,0.111,0.846,0.042,-0.8855,0.0,0.815,0.185,10331522.0,44.86
2019-06-20,1.0,0.111,0.846,0.042,-0.8855,0.0,0.815,0.185,9567367.0,43.86
2019-06-21,1.0,0.111,0.846,0.042,-0.8855,0.0,0.815,0.185,4977652.0,44.0
2019-06-22,1.0,0.111,0.846,0.042,0.975,0.148,0.798,0.054,4977652.0,44.0
2019-06-23,1.0,0.111,0.846,0.042,0.975,0.148,0.798,0.054,4977652.0,44.0
2019-06-24,1.0,0.111,0.846,0.042,0.975,0.148,0.798,0.054,6285053.0,43.09
2019-06-25,1.0,0.111,0.846,0.042,0.975,0.148,0.798,0.054,5755107.0,43.09
2019-06-26,1.0,0.111,0.846,0.042,0.9577,0.13,0.87,0.0,8109056.0,42.5
2019-06-27,1.0,0.111,0.846,0.042,0.9577,0.13,0.87,0.0,20155079.0,45.13
2019-06-28,1.0,0.111,0.846,0.042,0.9652,0.129,0.806,0.065,28657233.0,46.38
2019-06-29,1.0,0.111,0.846,0.042,0.9652,0.129,0.806,0.065,28657233.0,46.38
2019-06-30,1.0,0.115,0.86,0.026,0.9652,0.129,0.806,0.065,28657233.0,46.38
2019-07-01,1.0,0.115,0.86,0.026,0.9652,0.129,0.806,0.065,17840377.0,44.27
2019-07-02,1.0,0.115,0.86,0.026,0.9652,0.129,0.806,0.065,11881274.0,44.0
2019-07-03,1.0,0.115,0.86,0.026,0.9652,0.129,0.806,0.065,3380003.0,44.23
2019-07-04,1.0,0.115,0.86,0.026,0.168,0.062,0.938,0.0,3380003.0,44.23
2019-07-05,1.0,0.115,0.86,0.026,-0.6187,0.073,0.778,0.149,8239452.0,43.53
2019-07-06,1.0,0.115,0.86,0.026,-0.6187,0.073,0.778,0.149,8239452.0,43.53
2019-07-07,1.0,0.115,0.86,0.026,-0.6187,0.073,0.778,0.149,8239452.0,43.53
