,revenue,cost_without_depletion_and_amortization,operations_and_support_expense,selling_and_market_expense,research_and_development_expense,general_and_administrative_expense,depreciation_depletion_and_amortization,costs_and_expenses,operating_income_loss,interest_expense,nonoperating_income_expense,incomeloss_from_continuining_operations,income_tax_expense_benefit,income_loss_from_equity_method_investments,profit_loss,unnamed,net_income_loss,earnings_per_share_basic,earnings_per_share_diluted,weighted_average_number_of_shares_outstanding_basic,weight_average_number_of_diluted_shares_outstanding,net_income_loss_attributable_to_redeemable_noncontrolling_interest,sec_compound_sentiment,sec_positive_sentiment,sec_neutral sentiment,sec_negative_sentiment,stockmarket_compound_sentiment,stockmarket_positive_sentiment,stockmarket_neutral_sentiment,stockmarket_negative_sentiment,volume,close
2019-05-10,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,0.0602295454545454,0.0858863636363636,0.8410454545454545,0.0730454545454545,189836990.0,41.57
2019-05-11 00:00:00,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,-0.1144083333333333,0.0245833333333333,0.8853333333333334,0.09,189836990.0,41.57
2019-05-12 00:00:00,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,0.0697363636363636,0.098,0.8448181818181818,0.057090909090909,189836990.0,41.57
2019-05-13,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,0.0067666666666666,0.0696666666666666,0.8770000000000001,0.0533333333333333,79478203.0,37.1
2019-05-14,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,0.0067666666666666,0.0696666666666666,0.8770000000000001,0.0533333333333333,46661187.0,39.96
2019-05-15,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,36086872.0,41.29
2019-05-16,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,-0.48575,0.037,0.8815,0.0815,38115524.0,43.0
2019-05-17,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,0.0,0.0,1.0,0.0,20225687.0,41.91
2019-05-18 00:00:00,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,0.1032,0.1522,0.7782,0.0699999999999999,20225687.0,41.91
2019-05-19 00:00:00,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,0.1032,0.1522,0.7782,0.0699999999999999,20225687.0,41.91
2019-05-20,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,-0.5719,0.0,0.802,0.198,29222624.0,41.59
2019-05-21,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,-0.5719,0.0,0.802,0.198,10802863.0,41.5
2019-05-22,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,-0.5719,0.0,0.802,0.198,9089469.0,41.25
2019-05-23,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,0.1531,0.168,0.69,0.142,11120123.0,40.47
2019-05-24,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,0.1531,0.168,0.69,0.142,8786891.0,41.51
2019-05-25 00:00:00,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,0.1531,0.168,0.69,0.142,8786891.0,41.51
2019-05-26 00:00:00,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,-0.18865,0.0795,0.823,0.097,8786891.0,41.51
2019-05-27 00:00:00,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,-0.0616,0.0,0.9855,0.0145,8786891.0,41.51
2019-05-28,3099000000.0,1681000000.0,434000000.0,1040000000.0,409000000.0,423000000.0,146000000.0,4133000000.0,-1034000000.0,217000000.0,260000000.0,-991000000.0,19000000.0,-6000000.0,-1016000000.0,-4000000.0,-1012000000.0,-2.23,-2.26,453543000.0,453619000.0,0.0,1.0,0.111,0.846,0.042,-0.0616,0.0,0.9855,0.0145,13391605.0,40.95
