,date,ticker,pos,neg,neu,compound
0,2022-05-06,ABNB,0.0,0.0,1.0,0.0
1,2022-05-11,ABNB,0.07516666666666667,0.026,0.8986666666666667,0.1990333333333333
2,2022-05-12,ABNB,0.21,0.159,0.631,0.4912
3,2022-05-14,ABNB,0.16899999999999998,0.0,0.831,0.70995
4,2022-05-16,ABNB,0.0,0.0,1.0,0.0
5,2022-05-18,ABNB,0.0,0.048,0.952,-0.2787
6,2022-05-24,ABNB,0.014333333333333332,0.0,0.9856666666666666,0.042666666666666665
7,2022-06-01,ABNB,0.053,0.0,0.947,0.2023
8,2022-06-02,ABNB,0.044,0.127,0.829,-0.4939
9,2022-06-03,ABNB,0.0,0.0,1.0,0.0
10,2022-06-06,ABNB,0.046,0.0,0.954,0.2023
11,2022-05-06,BLK,0.23900000000000002,0.0225,0.7385,0.8038000000000001
12,2022-05-09,BLK,0.0,0.169,0.831,-0.6705
13,2022-05-10,BLK,0.06466666666666666,0.06033333333333333,0.875,0.0074999999999999884
14,2022-05-11,BLK,0.195,0.0,0.805,0.6705
15,2022-05-12,BLK,0.223,0.0,0.777,0.8074
16,2022-05-18,BLK,0.116,0.0,0.884,0.4939
17,2022-05-19,BLK,0.116,0.052,0.832,0.3058
18,2022-05-20,BLK,0.0,0.073,0.927,-0.3182
19,2022-05-23,BLK,0.104,0.07433333333333333,0.8216666666666667,0.10050000000000002
20,2022-05-24,BLK,0.0,0.062,0.938,-0.2732
21,2022-05-25,BLK,0.031,0.085,0.883,-0.4404
22,2022-05-26,BLK,0.0,0.082,0.918,-0.3818
23,2022-05-30,BLK,0.084,0.045,0.871,0.3182
24,2022-06-02,BLK,0.161,0.0,0.839,0.6369
25,2022-06-06,BLK,0.054,0.031,0.915,0.2135
26,2022-05-06,DVN,0.0,0.0,1.0,0.0
27,2022-05-07,DVN,0.0,0.0,1.0,0.0
28,2022-05-08,DVN,0.157,0.103,0.74,0.4663
29,2022-05-10,DVN,0.0,0.0,1.0,0.0
30,2022-05-12,DVN,0.108,0.092,0.8,-0.1027
31,2022-05-16,DVN,0.212,0.0,0.788,0.7003
32,2022-05-17,DVN,0.0,0.0,1.0,0.0
33,2022-05-19,DVN,0.115,0.0,0.885,0.3612
34,2022-05-24,DVN,0.16974999999999998,0.0,0.83025,0.638925
35,2022-05-25,DVN,0.244,0.0,0.756,0.7717
36,2022-06-01,DVN,0.164,0.082,0.754,0.4019
37,2022-05-07,FANG,0.0,0.0,1.0,0.0
38,2022-05-08,FANG,0.157,0.103,0.74,0.4663
39,2022-05-10,FANG,0.0,0.091,0.909,-0.5719
40,2022-05-11,FANG,0.066,0.0,0.934,0.368
41,2022-05-12,FANG,0.1015,0.0785,0.8195,-0.04469999999999999
42,2022-05-16,FANG,0.07425000000000001,0.02225,0.9035,0.16265000000000002
43,2022-05-22,FANG,0.132,0.0,0.868,0.4767
44,2022-05-23,FANG,0.059,0.0,0.9410000000000001,0.28595
45,2022-05-24,FANG,0.033,0.0,0.9670000000000001,0.148
46,2022-05-25,FANG,0.0,0.0,1.0,0.0
47,2022-05-26,FANG,0.191,0.0,0.809,0.6549
48,2022-05-27,FANG,0.208,0.0,0.792,0.7845
49,2022-05-30,FANG,0.059,0.0,0.9410000000000001,0.28595
50,2022-05-06,FB,0.0,0.212,0.788,-0.8316
51,2022-05-10,FB,0.08166666666666667,0.07466666666666666,0.8436666666666667,0.026466666666666656
52,2022-05-11,FB,0.0,0.0,1.0,0.0
53,2022-05-12,FB,0.046000000000000006,0.016666666666666666,0.9373333333333335,0.1797
54,2022-05-13,FB,0.0,0.082,0.918,-0.4939
55,2022-05-17,FB,0.0,0.1,0.9,-0.5994
56,2022-05-18,FB,0.06,0.0585,0.881,-0.000899999999999998
57,2022-05-23,FB,0.079,0.127,0.794,-0.2263
58,2022-05-31,FB,0.0,0.0,1.0,0.0
59,2022-06-01,FB,0.012,0.04425,0.94375,-0.193625
60,2022-06-03,FB,0.0615,0.0,0.9385,0.23195000000000002
61,2022-05-08,MCHP,0.063,0.0,0.937,0.3182
62,2022-05-09,MCHP,0.09566666666666668,0.018666666666666668,0.8856666666666667,0.3488
63,2022-05-10,MCHP,0.0,0.108,0.892,-0.4404
64,2022-05-15,MCHP,0.0,0.0,1.0,0.0
65,2022-05-17,MCHP,0.152,0.0755,0.772,0.3393
66,2022-05-18,MCHP,0.0,0.0,1.0,0.0
67,2022-05-19,MCHP,0.065,0.154,0.782,-0.5106
68,2022-05-20,MCHP,0.0,0.0,1.0,0.0
69,2022-05-23,MCHP,0.169,0.0,0.831,0.6249
70,2022-05-25,MCHP,0.081,0.0,0.919,0.32985
71,2022-05-26,MCHP,0.062,0.0,0.938,0.2732
72,2022-05-28,MCHP,0.153,0.08,0.767,0.1531
73,2022-05-31,MCHP,0.064,0.0,0.936,0.1779
74,2022-06-06,MCHP,0.123,0.020666666666666667,0.8563333333333333,0.32553333333333334
75,2022-05-06,MELI,0.014599999999999998,0.034199999999999994,0.9512,-0.06248
76,2022-05-07,MELI,0.0,0.0,1.0,0.0
77,2022-05-09,MELI,0.042,0.0,0.958,0.09
78,2022-05-10,MELI,0.044,0.0,0.956,0.24695
