date,ticker,close,volume
2015-12-01,NFLX,125.37,12550755
2015-12-02,NFLX,128.93,24105712
2015-12-03,NFLX,126.81,26644540
2015-12-04,NFLX,130.93,20250411
2015-12-07,NFLX,125.36,23351531
2015-12-08,NFLX,126.98,18591147
2015-12-09,NFLX,124.2,17788797
2015-12-10,NFLX,122.91,13474119
2015-12-11,NFLX,118.91,16105315
2015-12-14,NFLX,120.67,18732738
2015-12-15,NFLX,118.6,11759993
2015-12-16,NFLX,122.64,13180982
2015-12-17,NFLX,122.51,17284872
2015-12-18,NFLX,118.02,17948060
2015-12-21,NFLX,116.63,11669993
2015-12-22,NFLX,116.24,9689044
2015-12-23,NFLX,118.16,9324318
2015-12-24,NFLX,117.33,3541403
2015-12-28,NFLX,117.11,8422424
2015-12-29,NFLX,119.12,8159211
2015-12-30,NFLX,116.71,8149686
2015-12-31,NFLX,114.38,9273008
2016-01-04,NFLX,109.96,20794848
2016-01-05,NFLX,107.66,17664562
2016-01-06,NFLX,117.68,33045656
2016-01-07,NFLX,114.56,33636661
2016-01-08,NFLX,111.39,18067140
2016-01-11,NFLX,114.97,21920390
2016-01-12,NFLX,116.58,15133522
2016-01-13,NFLX,106.56,24921587
2016-01-14,NFLX,107.06,23664784
2016-01-15,NFLX,104.04,19763141
2016-01-19,NFLX,107.89,35722752
2016-01-20,NFLX,107.74,53009419
2016-01-21,NFLX,102.35,31027503
2016-01-22,NFLX,100.72,26819871
2016-01-25,NFLX,99.12,20321102
2016-01-26,NFLX,97.83,22083856
2016-01-27,NFLX,91.15,25556187
2016-01-28,NFLX,94.41,24562311
2016-01-29,NFLX,91.84,20458045
2016-02-01,NFLX,94.09,19684477
2016-02-02,NFLX,91.49,20942471
2016-02-03,NFLX,90.74,27466034
2016-02-04,NFLX,89.71,19108600
2016-02-05,NFLX,82.79,25929257
2016-02-08,NFLX,83.32,25035634
2016-02-09,NFLX,86.13,25892874
2016-02-10,NFLX,88.45,23146517
2016-02-11,NFLX,86.35,21820321
2016-02-12,NFLX,87.4,19067683
2016-02-16,NFLX,89.05,16356604
2016-02-17,NFLX,94.76,18323834
2016-02-18,NFLX,90.49,17695324
