,ticker,companyName,cik,accessionNo,formType,periodOfReport,linkToFilingDetails
0,ABNB,"Airbnb, Inc.",1559720,0001559720-22-000009,10-Q,2022-03-31,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000009/abnb-20220331.htm
1,ABNB,"Airbnb, Inc.",1559720,0001559720-21-000017,10-Q,2021-09-30,https://www.sec.gov/Archives/edgar/data/1559720/000155972021000017/abnb-20210930.htm
2,ABNB,"Airbnb, Inc.",1559720,0001628280-21-016979,10-Q,2021-06-30,https://www.sec.gov/Archives/edgar/data/1559720/000162828021016979/abnb-20210630.htm
3,ABNB,"Airbnb, Inc.",1559720,0001628280-21-010389,10-Q,2021-03-31,https://www.sec.gov/Archives/edgar/data/1559720/000162828021010389/abnb-20210331.htm
4,BLK,BlackRock Inc.,1364742,0001564590-22-018505,10-Q,2022-03-31,https://www.sec.gov/Archives/edgar/data/1364742/000156459022018505/blk-10q_20220331.htm
5,BLK,BlackRock Inc.,1364742,0001564590-21-054838,10-Q,2021-09-30,https://www.sec.gov/Archives/edgar/data/1364742/000156459021054838/blk-10q_20210930.htm
6,BLK,BlackRock Inc.,1364742,0001564590-21-041406,10-Q,2021-06-30,https://www.sec.gov/Archives/edgar/data/1364742/000156459021041406/blk-10q_20210630.htm
7,BLK,BlackRock Inc.,1364742,0001564590-21-024726,10-Q,2021-03-31,https://www.sec.gov/Archives/edgar/data/1364742/000156459021024726/blk-10q_20210331.htm
8,BLK,BlackRock Inc.,1364742,0001564590-20-051202,10-Q,2020-09-30,https://www.sec.gov/Archives/edgar/data/1364742/000156459020051202/blk-10q_20200930.htm
9,BLK,BlackRock Inc.,1364742,0001564590-20-038433,10-Q,2020-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1364742/000156459020038433/blk-10q_20200630.htm
10,BLK,BlackRock Inc.,1364742,0001564590-20-023352,10-Q,2020-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/1364742/000156459020023352/blk-10q_20200331.htm
11,BLK,BlackRock Inc.,1364742,0001564590-19-042157,10-Q,2019-09-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1364742/000156459019042157/blk-10q_20190930.htm
12,BLK,BlackRock Inc.,1364742,0001564590-19-030654,10-Q,2019-06-30,https://www.sec.gov/ix?doc=/Archives/edgar/data/1364742/000156459019030654/blk-10q_20190630.htm
13,BLK,BlackRock Inc.,1364742,0001564590-19-017793,10-Q,2019-03-31,https://www.sec.gov/ix?doc=/Archives/edgar/data/1364742/000156459019017793/blk-10q_20190331.htm
14,BLK,BlackRock Inc.,1364742,0001564590-18-028881,10-Q,,https://www.sec.gov/Archives/edgar/data/1364742/000156459018028881/blk-10q_20180930.htm
15,BLK,BlackRock Inc.,1364742,0001564590-18-020313,10-Q,,https://www.sec.gov/Archives/edgar/data/1364742/000156459018020313/blk-10q_20180630.htm
16,BLK,BlackRock Inc.,1364742,0001564590-18-012320,10-Q,,https://www.sec.gov/Archives/edgar/data/1364742/000156459018012320/blk-10q_20180331.htm
17,BLK,BlackRock Inc.,1364742,0001564590-17-022570,10-Q,,https://www.sec.gov/Archives/edgar/data/1364742/000156459017022570/blk-10q_20170930.htm
18,BLK,BlackRock Inc.,1364742,0001564590-17-016394,10-Q,,https://www.sec.gov/Archives/edgar/data/1364742/000156459017016394/blk-10q_20170630.htm
19,BLK,BlackRock Inc.,1364742,0001564590-17-009686,10-Q,,https://www.sec.gov/Archives/edgar/data/1364742/000156459017009686/blk-10q_20170331.htm
20,BLK,BlackRock Inc.,1364742,0001564590-16-028171,10-Q,,https://www.sec.gov/Archives/edgar/data/1364742/000156459016028171/blk-10q_20160930.htm
21,BLK,BlackRock Inc.,1364742,0001564590-16-023209,10-Q,,https://www.sec.gov/Archives/edgar/data/1364742/000156459016023209/blk-10q_20160630.htm
22,BLK,BlackRock Inc.,1364742,0001564590-16-018688,10-Q,,https://www.sec.gov/Archives/edgar/data/1364742/000156459016018688/blk-10q_20160331.htm
23,BLK,BlackRock Inc.,1364742,0001564590-15-009883,10-Q,,https://www.sec.gov/Archives/edgar/data/1364742/000156459015009883/blk-10q_20150930.htm
24,BLK,BlackRock Inc.,1364742,0001193125-15-283171,10-Q,,https://www.sec.gov/Archives/edgar/data/1364742/000119312515283171/d14172d10q.htm
25,BLK,BlackRock Inc.,1364742,0001193125-15-179094,10-Q,,https://www.sec.gov/Archives/edgar/data/1364742/000119312515179094/d884015d10q.htm
26,BLK,BlackRock Inc.,1364742,0001193125-14-403120,10-Q,2014-09-30,https://www.sec.gov/Archives/edgar/data/1364742/000119312514403120/d800369d10q.htm
27,BLK,BlackRock Inc.,1364742,0001193125-14-302181,10-Q,2014-06-30,https://www.sec.gov/Archives/edgar/data/1364742/000119312514302181/d756612d10q.htm
28,BLK,BlackRock Inc.,1364742,0001193125-14-192207,10-Q,2014-03-31,https://www.sec.gov/Archives/edgar/data/1364742/000119312514192207/d686413d10q.htm
