,Ticker,DocName,DocPath,FilingType,SECdates,SEC_CIK
0,MTRX,0001193125-12-462895,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0001193125-12-462895/full-submission.txt,10-Q,20120930,866273
1,MTRX,0000866273-20-000135,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-20-000135/full-submission.txt,10-Q,20200930,866273
2,MTRX,0000866273-18-000025,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-18-000025/full-submission.txt,10-Q,20180331,866273
3,MTRX,0000866273-17-000018,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-17-000018/full-submission.txt,10-Q,20170331,866273
4,MTRX,0000866273-18-000128,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-18-000128/full-submission.txt,10-Q,20180930,866273
5,MTRX,0000866273-15-000094,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-15-000094/full-submission.txt,10-Q,20150930,866273
6,MTRX,0000866273-18-000008,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-18-000008/full-submission.txt,10-Q,20171231,866273
7,MTRX,0000866273-17-000122,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-17-000122/full-submission.txt,10-Q,20170930,866273
8,MTRX,0000866273-14-000006,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-14-000006/full-submission.txt,10-Q,20131231,866273
9,MTRX,0000866273-22-000008,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-22-000008/full-submission.txt,10-Q,20211231,866273
10,MTRX,0000866273-14-000055,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-14-000055/full-submission.txt,10-Q,20140331,866273
11,MTRX,0000866273-16-000163,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-16-000163/full-submission.txt,10-Q,20160331,866273
12,MTRX,0000866273-19-000024,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-19-000024/full-submission.txt,10-Q,20190331,866273
13,MTRX,0000866273-22-000021,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-22-000021/full-submission.txt,10-Q,20220331,866273
14,MTRX,0000866273-20-000019,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-20-000019/full-submission.txt,10-Q,20200331,866273
15,MTRX,0000866273-13-000091,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-13-000091/full-submission.txt,10-Q,20130930,866273
16,MTRX,0000866273-14-000106,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-14-000106/full-submission.txt,10-Q,20140930,866273
17,MTRX,0000866273-21-000022,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-21-000022/full-submission.txt,10-Q,20210331,866273
18,MTRX,0000866273-16-000241,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-16-000241/full-submission.txt,10-Q,20160930,866273
19,MTRX,0000866273-20-000005,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-20-000005/full-submission.txt,10-Q,20191231,866273
20,MTRX,0000866273-13-000012,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-13-000012/full-submission.txt,10-Q,20130331,866273
21,MTRX,0000866273-19-000117,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-19-000117/full-submission.txt,10-Q,20190930,866273
22,MTRX,0000866273-21-000008,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-21-000008/full-submission.txt,10-Q,20201231,866273
23,MTRX,0001445305-13-000176,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0001445305-13-000176/full-submission.txt,10-Q,20121231,866273
24,MTRX,0000866273-17-000006,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-17-000006/full-submission.txt,10-Q,20161231,866273
25,MTRX,0000866273-21-000116,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-21-000116/full-submission.txt,10-Q,20210930,866273
26,MTRX,0000866273-15-000008,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-15-000008/full-submission.txt,10-Q,20141231,866273
27,MTRX,0000866273-15-000030,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-15-000030/full-submission.txt,10-Q,20150331,866273
28,MTRX,0000866273-16-000141,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-16-000141/full-submission.txt,10-Q,20151231,866273
29,MTRX,0000866273-19-000009,./Data/Raw_Data/sec-edgar-filings/MTRX/10-Q/0000866273-19-000009/full-submission.txt,10-Q,20181231,866273
30,UBER,0001543151-20-000029,./Data/Raw_Data/sec-edgar-filings/UBER/10-Q/0001543151-20-000029/full-submission.txt,10-Q,20200630,1543151
31,UBER,0001543151-21-000047,./Data/Raw_Data/sec-edgar-filings/UBER/10-Q/0001543151-21-000047/full-submission.txt,10-Q,20210930,1543151
32,UBER,0001543151-21-000038,./Data/Raw_Data/sec-edgar-filings/UBER/10-Q/0001543151-21-000038/full-submission.txt,10-Q,20210630,1543151
33,UBER,0001628280-20-015936,./Data/Raw_Data/sec-edgar-filings/UBER/10-Q/0001628280-20-015936/full-submission.txt,10-Q,20200930,1543151
34,UBER,0001543151-19-000009,./Data/Raw_Data/sec-edgar-filings/UBER/10-Q/0001543151-19-000009/full-submission.txt,10-Q,20190630,1543151
35,UBER,0001543151-19-000017,./Data/Raw_Data/sec-edgar-filings/UBER/10-Q/0001543151-19-000017/full-submission.txt,10-Q,20190930,1543151
36,UBER,0001543151-22-000015,./Data/Raw_Data/sec-edgar-filings/UBER/10-Q/0001543151-22-000015/full-submission.txt,10-Q,20220331,1543151
37,UBER,0001543151-21-000029,./Data/Raw_Data/sec-edgar-filings/UBER/10-Q/0001543151-21-000029/full-submission.txt,10-Q,20210331,1543151
38,UBER,0001543151-20-000022,./Data/Raw_Data/sec-edgar-filings/UBER/10-Q/0001543151-20-000022/full-submission.txt,10-Q,20200331,1543151
39,UBER,0001628280-19-007524,./Data/Raw_Data/sec-edgar-filings/UBER/10-Q/0001628280-19-007524/full-submission.txt,10-Q,20190331,1543151
40,BLK,0001564590-16-023209,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-16-023209/full-submission.txt,10-Q,20160630,1364742
41,BLK,0001564590-17-009686,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-17-009686/full-submission.txt,10-Q,20170331,1364742
42,BLK,0001193125-14-302181,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001193125-14-302181/full-submission.txt,10-Q,20140630,1364742
43,BLK,0001564590-18-012320,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-18-012320/full-submission.txt,10-Q,20180331,1364742
44,BLK,0001564590-16-028171,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-16-028171/full-submission.txt,10-Q,20160930,1364742
45,BLK,0001564590-21-054838,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-21-054838/full-submission.txt,10-Q,20210930,1364742
46,BLK,0001564590-21-024726,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-21-024726/full-submission.txt,10-Q,20210331,1364742
47,BLK,0001193125-13-326890,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001193125-13-326890/full-submission.txt,10-Q,20130630,1364742
48,BLK,0001564590-19-030654,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-19-030654/full-submission.txt,10-Q,20190630,1364742
49,BLK,0001564590-20-051202,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-20-051202/full-submission.txt,10-Q,20200930,1364742
50,BLK,0001564590-18-020313,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-18-020313/full-submission.txt,10-Q,20180630,1364742
51,BLK,0001564590-20-038433,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-20-038433/full-submission.txt,10-Q,20200630,1364742
52,BLK,0001193125-14-403120,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001193125-14-403120/full-submission.txt,10-Q,20140930,1364742
53,BLK,0001564590-19-042157,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-19-042157/full-submission.txt,10-Q,20190930,1364742
54,BLK,0001564590-16-018688,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-16-018688/full-submission.txt,10-Q,20160331,1364742
55,BLK,0001193125-14-192207,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001193125-14-192207/full-submission.txt,10-Q,20140331,1364742
56,BLK,0001193125-12-460708,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001193125-12-460708/full-submission.txt,10-Q,20120930,1364742
57,BLK,0001564590-17-022570,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-17-022570/full-submission.txt,10-Q,20170930,1364742
58,BLK,0001193125-15-179094,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001193125-15-179094/full-submission.txt,10-Q,20150331,1364742
59,BLK,0001564590-22-018505,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-22-018505/full-submission.txt,10-Q,20220331,1364742
60,BLK,0001564590-15-009883,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-15-009883/full-submission.txt,10-Q,20150930,1364742
61,BLK,0001564590-18-028881,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-18-028881/full-submission.txt,10-Q,20180930,1364742
62,BLK,0001564590-20-023352,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-20-023352/full-submission.txt,10-Q,20200331,1364742
63,BLK,0001193125-13-210506,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001193125-13-210506/full-submission.txt,10-Q,20130331,1364742
64,BLK,0001193125-15-283171,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001193125-15-283171/full-submission.txt,10-Q,20150630,1364742
65,BLK,0001564590-19-017793,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-19-017793/full-submission.txt,10-Q,20190331,1364742
66,BLK,0001564590-21-041406,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-21-041406/full-submission.txt,10-Q,20210630,1364742
67,BLK,0001193125-13-434891,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001193125-13-434891/full-submission.txt,10-Q,20130930,1364742
68,BLK,0001564590-17-016394,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001564590-17-016394/full-submission.txt,10-Q,20170630,1364742
69,BLK,0001193125-12-343728,./Data/Raw_Data/sec-edgar-filings/BLK/10-Q/0001193125-12-343728/full-submission.txt,10-Q,20120630,1364742
